id,label
Q27278,H
Q27931,Okinawa
Q30011,K
Q127942,JR
Q138698,Khmer
Q171494,Winston
Q216756,DDR
Q217417,HF
Q219240,AK
Q224432,RMS
Q224763,ST
Q225140,SF
Q225202,IPA
Q224949,LP
Q225590,CT
Q226388,RF
Q226675,EF
Q226684,NH
Q229045,ITF
Q229602,Sister
Q230009,SNP
Q229997,Moravia
Q231449,Satan
Q233378,RTL
Q233713,FCC
Q233980,Bali
Q234404,Marathon
Q236040,Suffolk
Q237166,Portuguesa
Q240699,ACM
Q245801,SBS
Q247024,PBS
Q252971,Crisis
Q254367,Goal
Q264890,Return
Q267059,SMK
Q273429,École
Q294451,Potsdam
Q295170,Levante
Q295147,Celtic
Q296614,WRC
Q296462,LL
Q297686,Subway
Q298093,ASV
Q298199,ISS
Q298642,Lugano
Q340777,Vinyl
Q343555,Insight
Q346636,Color
Q348858,FBI
Q355028,Ardèche
Q356967,Expo
Q357129,VF
Q359957,Adobe
Q360257,Unlimited
Q364373,Borussia
Q395126,Neuchâtel
Q397103,Broadcast
Q397478,MLB
Q398156,Funeral
Q398887,Inside
Q411842,National
Q415025,Pasha
Q437742,TSV
Q443744,WK
Q447950,SFR
Q483208,KG
Q590243,Melissa
Q778176,Ausbruch
Q778256,Auschwitz
Q1159266,LC
Q1164104,Yunan
Q1164527,Bahasa
Q1178281,Remix
Q1181095,Dancing
Q1218610,Smiths
Q1222523,Byzantium
Q1276671,Each
Q1314984,Oggi
Q1718591,Trennung
Q1825485,Limited
Q1932583,Migration
Q1973069,Tan
Q2325996,Stadio
Q2519090,Vertreter
Q2634942,Grace
Q2656550,Atlantic
Q2790543,Songs
Q2876085,Episcopal
Q2974950,Clair
Q3382469,Piccolo
Q3630421,Authority
Q3687686,Consulta
Q4650720,Audio
Q5380814,Entry
Q5998458,Yer
Q7265635,Q
Q7968827,Waray
Q8036765,Worldwide
Q9092883,Vencedor
Q12321273,Kapitel
Q13096507,Romawi
Q13612624,Bangkok
Q92175953,Musiker
Q105944793,Museum
Q80422,Soccer
Q105745,CD
Q175966,Kyoto
Q207900,MM
Q217359,SD
Q217419,HR
Q217424,CH
Q217488,DB
Q219099,FF
Q219084,AV
Q219108,BS
Q219204,UA
Q219246,CP
Q219343,ICC
Q219297,VA
Q219267,ATC
Q223811,GP
Q224261,CK
Q224295,ITU
