id,en,de,fr,es
Q27213,Formula,Formula,Formule,Fórmula
Q27931,Okinawa,Okinawa,Okinawa,Okinawa
Q127942,JR,JR,JR,JR
Q138698,Khmer,Khmer,Khmer,Khmer
Q171494,Winston,Winston,Winston,Winston
Q216756,DDR,DDR,DDR,DDR
Q217417,HF,HF,HF,HF
Q218887,SC,SC,SC,Sc
Q219240,AK,AK,AK,AK
Q224432,RMS,RMS,RMS,RMS
Q224763,ST,ST,ST,ST
Q224805,FL,FL,FL,Fl
Q225140,SF,SF,SF,SF
Q225202,IPA,IPA,IPA,IPA
Q224949,LP,LP,LP,LP
Q225590,CT,CT,CT,CT
Q226388,RF,RF,RF,RF
Q226675,EF,EF,EF,EF
Q226684,NH,NH,NH,NH
Q229045,ITF,ITF,ITF,ITF
Q229602,Sister,Sister,Sister,Sister
Q230009,SNP,SNP,SNP,SNP
Q229997,Moravia,Moravia,Moravia,Moravia
Q231449,Satan,Satan,Satan,Satan
Q232353,Agency,Agency,Agence,Agency
Q233378,RTL,RTL,RTL,RTL
Q233713,FCC,FCC,FCC,FCC
Q233980,Bali,Bali,Bali,Bali
Q234404,Marathon,Marathon,Marathon,Marathon
Q236040,Suffolk,Suffolk,Suffolk,Suffolk
Q237166,Portuguesa,Portuguesa,Portuguesa,Portuguesa
Q240699,ACM,ACM,ACM,ACM
Q245801,SBS,SBS,SBS,SBS
Q247024,PBS,PBS,PBS,PBS
Q252971,Crisis,Crisis,Crisis,Crisis
Q254367,Goal,Goal,Goal,Goal
Q264890,Return,Return,Return,Return
Q267059,SMK,SMK,SMK,SMK
Q273429,École,École,École,École
Q294451,Potsdam,Potsdam,Potsdam,Potsdam
Q295170,Levante,Levante,Levante,Levante
Q295147,Celtic,Celtic,Celtic,Celtic
Q296614,WRC,WRC,WRC,WRC
Q296462,LL,LL,LL,LL
Q297686,Subway,Subway,Subway,Subway
Q298093,ASV,ASV,ASV,ASV
Q298199,ISS,ISS,ISS,ISS
Q298642,Lugano,Lugano,Lugano,Lugano
Q307045,mail,Mail,mail,mail
Q340777,Vinyl,Vinyl,Vinyl,Vinyl
Q343555,Insight,Insight,Insight,Insight
Q346636,Color,Color,Color,Color
Q348858,FBI,FBI,FBI,FBI
Q355028,Ardèche,Ardèche,Ardèche,Ardèche
Q356967,Expo,Expo,Expo,Expo
Q357129,VF,VF,VF,VF
Q359957,Adobe,Adobe,Adobe,Adobe
Q360257,Unlimited,Unlimited,Unlimited,Unlimited
Q364373,Borussia,Borussia,Borussia,Borussia
Q395126,Neuchâtel,Neuchâtel,Neuchâtel,Neuchâtel
Q397103,Broadcast,Broadcast,Broadcast,Broadcast
Q397478,MLB,MLB,MLB,MLB
Q398156,Funeral,Funeral,Funeral,Funeral
Q398887,Inside,Inside,Inside,Inside
Q411842,National,National,National,National
Q415025,Pasha,Pasha,Pasha,Pasha
Q437742,TSV,TSV,TSV,TSV
Q443744,WK,WK,WK,WK
Q447950,SFR,SFR,SFR,SFR
Q483208,KG,KG,KG,KG
Q590243,Melissa,Melissa,Melissa,Melissa
Q778176,Ausbruch,Ausbruch,Ausbruch,Ausbruch
Q778256,Auschwitz,Auschwitz,Auschwitz,Auschwitz
Q1159266,LC,LC,LC,LC
Q1164104,Yunan,Yunan,Yunan,Yunan
Q1164527,Bahasa,Bahasa,Bahasa,Bahasa
Q1178281,Remix,Remix,Remix,Remix
Q1181095,Dancing,Dancing,Dancing,Dancing
Q1218610,Smiths,Smiths,Smiths,Smiths
Q1222523,Byzantium,Byzantium,Byzantium,Byzantium
Q1276671,Each,Each,Each,Each
Q1314984,Oggi,Oggi,Oggi,Oggi
Q1718591,Trennung,Trennung,Trennung,Trennung
Q1761084,length,Länge,longueur,longitud
Q1825485,Limited,Limited,Limited,Limited
Q1910983,wall,Mauer,mur,muro
Q1932583,Migration,Migration,Migration,Migration
Q1973069,Tan,Tan,Tan,Tan
Q2325996,Stadio,Stadio,Stadio,Stadio
