id,en,zh
Q69514036,Gang,강
Q16256197,Go,고
Q12589744,Nam,남
Q69511529,Ni,니
Q20083693,Da,다
Q69512633,Dal,달
Q69512010,Don,돈
Q12594770,Man,만
Q12599518,Bin,빈
Q105661509,Sang,상
Q20085826,Seo,서
Q69512418,Son,손
Q69511457,Sim,심
Q20021675,Oh,오
Q69511260,On,온
Q20021678,Yong,용
Q20021681,Woo,우
Q69514209,Un,운
Q8031674,Won,원
Q20021687,Wi,위
Q16262105,In,인
Q13224494,Im,임
Q12614071,Ja,자
Q1078426,Jang,장
Q16255943,Jae,재
Q69515185,Je,제
Q12617221,Jong,종
Q20089398,Jung,중
Q12620034,Chun,춘
Q69513554,Chung,충
Q68794969,Tak,탁
Q20008602,Ha,하
Q69523512,Ham,함
Q69512881,Hang,항
Q20089345,Hong,홍
Q122477,Seven,七
Q96249011,Wan,万
Q614108,Three,三
Q15332375,up,上
Q15332388,down,下
Q17038980,No,不
Q54050,hill,丘
Q162100,Central,中
Q27323218,Gan,丸
Q37497128,Yoon,尹
Q10879730,Xi,习
Q6570602,Milk,乳
Q30944198,Yun,云
Q15088590,Five,五
Q43483,well,井
Q29563852,Akira,享
Q229565,Human,人
Q1196421,Ren,仁
Q1149098,Dai,代
Q11723795,piece,件
Q920516,Hugh,休
Q26437594,Tomo,伴
Q500515,gal,伽
Q65925693,Si,佀
Q26447214,Den,佃
Q837214,Low,低
Q615806,Body,体
Q40161164,Ga,何
Q10886862,Tong,佟
Q637907,You,你
Q4994200,Samurai,侍
Q65925853,Bao,保
Q515536,Lund,倫
Q19798642,value,值
Q860623,image,像
Q14083,dollar,元
Q3840938,Lux,光
Q41803,gram,克
Q844723,Rabbit,兔
Q703401,Quan,全
Q45519184,Ce,冊
Q19855418,Jun,军
Q36863253,Von,冯
Q1257038,Ice,冰
Q270952,cold,冷
Q4261869,Ling,凌
Q6380134,Kay,凯
Q58093,cent,分
Q1366302,row,列
Q96480003,Liu,刘
Q204260,plane,刨
Q2588021,Leigh,利
Q3194571,ke,刻
Q12791,sword,劍
Q11402,force,力
Q24083948,Gong,功
Q4254112,Lao,劳
Q36933395,Le,勒
Q27265119,Masa,勝
Q2856784,North,北
Q12489956,district,區
Q107428,kilo,千
Q36900200,Hoa,华
Q6850693,soldier,卒
Q667,south,南
Q295121,Card,卡
Q37506857,Lou,卢
Q17147,egg,卵
Q1125653,volume,卷
Q61055716,cash,厘
Q26000356,Gen,原
Q28575,county,县
Q340624,Fork,叉
Q11344137,Right,右
Q37487144,Ye,叶
Q191536,conjunction,合
Q20017794,Gill,吉
Q139,queen,后
Q96620523,Wu,吴
Q2717837,Kiss,吻
Q37523021,Lui,呂
Q620563,rasa,味
Q55091460,sum,和
Q184128,Om,唵
Q4519999,Shang,商
Q869406,Ah,啊
Q9656852,Wen,問
Q30931011,Pa,啪
Q15290,good,善
Q13501137,Jon,喬
Q845673,Shan,單
Q7275,state,国
Q141488,graph,图
Q17278,circle,圓
Q52371,regiment,團
Q26438199,Han,坂
Q24805076,Cam,坎
Q1144593,sitting,坐
Q1146944,block,块
Q16881297,Poe,坡
Q18786715,Style,型
Q146481,domain,域
Q189569,basis,基
Q1785071,fort,堡
Q257765,Field,場
Q1419774,Dust,塵
Q42948,wall,墙
Q104513742,Bà,壩
Q6835441,guard,士
Q2921063,hu,壶
Q2987501,Kui,夔
Q592503,Night,夜
Q36348,dream,夢
Q299427,Big,大
Q1364799,Tian,天
Q16880606,Nye,奈
Q37493840,Au,奥
Q6581072,female,女
Q788822,Her,她
Q45469590,Yao,姚
Q1948499,Jiang,姜
Q104223884,Na,娜
Q3344859,Nun,嫩
Q103658233,Chan,嬋
Q10105188,Zi,子
Q1043077,Kong,孔
Q625642,word,字
Q28039407,Sun,孙
Q12826913,season,季
Q96276209,An,安
Q37443555,Sung,宋
Q704820,Palace,宫
Q10952252,Su,宿
Q65925750,Mi,密
Q876237,cun,寸
Q15211381,Looking,尋
Q60960,tail,尾
Q5283743,diu,屌
Q34740,genus,属
Q4464775,Tu,屠
Q415419,Plate,層
Q8502,mountain,山
Q1319681,Qi,岐
Q93352,coast,岸
Q39241492,Mine,峰
Q2419461,Island,島
Q171308,oblast,州
Q4785,nest,巢
Q3485002,Left,左
Q65925401,Ju,巨
Q103510,bar,巴
Q26449964,Sen,巽
Q21583365,city,市
Q892941,Boo,布
Q26986325,Fan,帆
Q57912,Ski,希
Q11060135,general,帥
Q227077,Belt,带
Q1324888,frame,帧
Q55091534,power,幂
Q421744,act,幕
Q577,year,年
Q27268420,Yuki,幸
Q817477,tehsil,乡
Q42177,bed,床
Q1431456,order,序
Q575724,Base,底
Q383444,degree,度
Q387834,thing,庭
Q3594969,Kang,康
Q30098034,Hiroshi,廣
Q1376436,string,弦
Q147572,arc,弧
Q65925376,Zhang,彰
Q48927761,Shadow,影
Q154121,micro,微
Q1179705,de,德
Q21646092,Rage,怒
Q80827,Sex,性
Q37499267,Eun,恩
Q11073356,Hui,惠
Q15292,evil,惡
Q2511457,Love,愛
Q11074526,Cheng,成
Q1368004,ji,戟
Q259059,household,戶
Q11075460,Fang,房
Q250216,Hand,手
Q37449282,Choi,才
Q605704,dozen,打
Q185759,span,拃
Q1252904,Ra,拉
Q255021,Largo,拍
Q17500788,Zhao,招
Q12277,arch,拱
Q107096990,Chí,持
Q40105218,Ban,播
Q848250,yu,敔
Q11563,number,數
Q1078168,to,斗
Q39397,axe,斧
Q102356,brigade,旅
Q83306,group,族
Q1392130,flag,旗
Q573,day,日
Q27263513,Asahi,旭
Q13080849,Ming,明
Q549847,Primavera,春
Q6201794,Jin,晉
Q95885192,Jing,晶
Q45638488,Chang,暢
Q995999,Cook,曲
Q710706,Cao,曹
Q5151,month,月
Q14639707,Band,本
Q715935,Park,朴
Q532,village,村
Q684,east,東
Q268146,Board,板
Q28943641,Linn,林
Q11108068,Bai,柏
Q3538304,Tree,树
Q2920416,kernel,核
Q41500,root,根
Q128234,case,格
Q39256779,Sai,栽
Q26446827,Kei,桂
Q2738285,drum,桶
Q1165588,rod,桿
Q37447369,Liang,梁
Q712260,Mei,梅
Q4425681,Dreams,梦
Q980612,gun,棍
Q15026,chair,椅
Q6648074,Chu,楚
Q104374131,Nan,楠
Q27166866,Ei,榮
Q18848,module,模
Q347789,Bridge,橋
Q13191,orange,橙
Q65925905,Tan,檀
Q2741056,cabinet,櫃
Q11537657,Sakura,櫻
Q691543,pace,步
Q27238097,Bu,武
Q224038,Shell,殼
Q37317834,Mau,毛
Q154108,milli,毫
Q189964,felt,氈
Q556,hydrogen,氢
Q2637489,air,氣
Q629,oxygen,氧
Q627,nitrogen,氮
Q283,water,水
Q85881772,Hàn,汗
Q388317,Pool,池
Q832915,Tang,汤
Q10862976,Sand,沙
Q42962,oil,油
Q124714,spring,泉
Q37172,wave,波
Q65926059,Ní,泥
Q37519184,Tie,泰
Q2791245,Lo,洛
Q16255801,Hun,洪
Q26437196,Ho,浦
Q18324646,High,海
Q7222163,Chong,涌
Q40104624,Dan,淡
Q27182145,Sei,淸
Q2005604,Wing,温
Q27306327,Moto,源
Q47521,stream,溪
Q16260220,Hua,滑
Q21446306,Penn,潘
Q40105175,Nada,灘
Q3196,fire,火
Q724582,Ash,灰
Q349047,thought,灵
Q2239271,Carbon,炭
Q1376585,Mu,無
Q65926185,Wei,煒
Q653447,Smoke,煙
Q24489,coal,煤
Q30090244,bear,熊
Q228698,Hot,熱
Q1291919,Yan,燕
Q637820,Amour,爱
Q830,cattle,牛
Q3899150,It,牠
Q64434591,dog,犬
Q40103790,Kari,狩
Q338814,lion,狮
Q224643,Wolf,狼
Q17040376,Zhu,猪
Q337097,Cats,猫
Q740674,Monkey,猴
Q45462122,Wang,王
Q232632,Loop,环
Q10793819,Min,珉
Q3244086,Ball,球
Q13392033,Qin,琴
Q26933328,Joan,琼
Q2385061,Ray,瑞
Q1155980,se,瑟
Q15932174,Qu,璩
Q245595,cycle,環
Q104713686,vessel,瓶
Q6581097,male,男
Q36732,kingdom,界
Q855179,Bi,畢
Q224107,gall,癭
Q65925581,Huang,皇
Q154341,pico,皮
Q104673598,basin,盆
Q1500258,salt,盐
Q105172200,box,盒
Q16870140,Gay,盖
Q288653,league,盟
Q15119321,pan,盤
Q45443936,Lu,盧
Q104837,phase,相
Q131559,shield,盾
Q4644326,Province,省
Q7364,eye,眼
Q6940429,Muse,瞄
Q638982,moment,矩
Q482798,yard,码
Q134574,pump,泵
Q913416,brick,砖
Q105172138,bowl,碗
Q100995,pound,磅
Q1334343,roller,磙
Q26450020,Iso,磯
Q26439548,Kami,神
