id,zh,ja
Q1059055,鸩,鴆
Q30335559,麴,麹
Q645110,檁,桁
Q2217308,锤,錘
Q823101,阙,闕
Q878007,瓮,甕
Q839767,埙,塤
Q1181540,壽,寿
Q719458,脑,脳
Q2373471,鳌,鰲
Q1373696,錢,匁
Q3486877,綢,紬
Q11540470,碗,椀
Q104882021,鸽,鳩
Q2658888,覺,覚
Q254549,层,層
Q804542,貘,獏
Q1355195,莖,茎
Q2068842,鹏,鵬
Q15890641,阁,閣
Q39256799,檜,桧
Q11537657,櫻,桜
Q39241672,卷,巻
Q11607729,綠,緑
Q27182136,淸,清
Q738095,豐,フォン
Q2517447,锛,釿
Q3821885,暂,暫
Q27166866,榮,栄
Q919107,积,積
Q69523624,패,ペ
Q721997,鼠,子
Q740674,猴,申
Q740762,虎,寅
Q844723,兔,卯
Q1394795,箫,簫
Q876244,两,両
Q19855418,军,軍
Q58326677,秭,𥝱
Q65926038,實,実
Q755126,狗,戌
Q867696,羊,未
Q869595,马,午
Q20065411,팽,彭
Q43610294,賴,頼
Q1472357,赋,賦
Q599644,牛,丑
Q756692,蛇,巳
Q822621,鸡,酉
Q10943080,妫,嬀
Q246357,陈,陳
Q26229383,奧,奥
Q877261,猪,亥
Q65926025,肅,粛
Q506246,伍,班
Q1366302,列,組
Q69509455,내,ネ
Q106855782,濟,済
Q191657,镫,鐙
Q201851,刺,棘
Q105446046,舊,旧
Q3916723,臉,顔
Q534932,调,調
Q731434,龙,辰
Q1091366,词,詞
Q202742,氣,気
Q1643900,镞,鏃
Q846664,鹰,鷹
Q49095849,德,徳
Q105447400,應,応
Q1157063,鲧,鯀
Q40104542,瀧,滝
Q16260635,讓,譲
Q69511529,니,ニ
Q27238305,鄕,郷
Q26437299,澤,沢
Q43454114,續,続
Q27263159,槇,槙
Q97420727,부,ブ
Q16219715,감,甘
Q12617221,종,ジョン
Q96401045,樂,楽
Q12599518,빈,彬
Q69513922,계,ゲ
Q69513495,모,モ
Q476850,轿,輿
Q26231101,濱,浜
Q3025161,系,列
Q308939,晓,暁
Q16529344,鵝,雁
Q264441,區,県
Q11056346,巢,巣
Q26000456,關,関
Q3603531,孙,孫
Q12603871,시,シ
Q175421,洞,穴
Q69512832,가,ガ
Q1274372,邺,鄴
Q188488,鳞,鱗
Q474188,鑿,鏨
Q12598567,봉,奉
Q24083944,啟,啓
Q69514133,치,チ
Q10879730,习,習
Q20018011,소,ソ
Q15940604,蔺,藺
Q96099058,國,国
Q10877982,乌,烏
Q595364,格,束
Q15292,惡,悪
Q69514651,사,サ
Q16262105,인,印
Q76469,淚,涙
Q185674,场,場
Q107581265,獻,献
Q9633,頸,首
Q19798642,值,値
Q69512427,애,エ
Q168432,锚,錨
Q17031790,阚,闞
Q20083693,다,ダ
Q172833,帚,箒
Q69514238,무,ム
Q2003749,桨,櫂
Q43471,臂,腕
Q16932005,枚,梅
Q204260,刨,鉋
Q10910874,厉,厲
Q20021668,余,ヨ
Q235544,焰,炎
Q69515056,구,グ
Q272735,树,木
Q15925087,芈,羋
Q161172,环,環
Q10289,桶,樽
Q28048370,嚴,厳
Q20085847,유,ユ
Q133105,腿,脚
Q20083705,보,ボ
Q20021676,왕,王
Q14083,元,ドル
Q565231,亂,乱
Q55697010,恽,惲
Q41354,醋,酢
Q20021681,우,ウ
Q4518490,车,車
Q1015565,歐,欧
Q334460,门,門
Q18388189,민,閔
Q15807,脚,足
Q17151888,혜,ヘ
Q47087363,權,権
Q11563,數,数
Q30098034,廣,広
Q15929467,樓,楼
Q13233009,邊,辺
Q124695,蜡,蝋
Q3372303,麥,麦
Q20008602,하,ハ
Q4515557,지,ジ
Q10757709,喻,喩
Q16256658,심,沈
Q45922,箭,矢
Q97102688,鳳,鳯
Q34679,沙,砂
Q20007259,허,許
Q42165,臀,尻
Q9174935,裴,裵
Q17278,圓,円
Q4448640,项,項
Q29563848,睿,叡
Q16078362,窦,竇
Q4505485,齊,斉
Q23392,冰,氷
Q4542452,查,査
Q201097,籃,籠
Q20064958,기,キ
Q17151875,희,ヒ
Q12370,盐,塩
Q20065421,수,ス
Q16256197,고,コ
Q4538396,阎,閻
Q36794,門,扉
Q20021675,오,呉
Q22676,鞋,靴
Q2499021,华,華
Q1594283,莊,荘
Q2354177,谭,譚
Q35473,窗,窓
Q5090,稻,米
Q832915,汤,湯
Q41415,湯,汁
Q16260135,龚,龔
Q15898289,纪,紀
Q8495,奶,乳
Q93189,蛋,卵
Q12791,劍,剣
Q708,铅,鉛
Q8074,云,雲
Q10887793,俞,兪
Q37517,纲,綱
Q450129,苏,蘇
Q2578531,邓,鄧
Q42948,墙,壁
Q192350,部,省
Q2603704,曾,曽
Q4151201,顾,顧
Q10540111,蔣,蒋
Q677,鐵,鉄
Q16887380,組,群
Q11427,钢,鋼
Q16259832,釋,釈
Q1785071,堡,砦
Q845104,黃,黄
Q11472,纸,紙
Q5185279,诗,詩
Q12280,桥,橋
Q3957,镇,街
Q7432,种,種
