item1,item1Label,item2,item2Label
http://www.wikidata.org/entity/Q106521687,antiverse,http://www.wikidata.org/entity/Q1,universe
http://www.wikidata.org/entity/Q527,sky,http://www.wikidata.org/entity/Q2,Earth
http://www.wikidata.org/entity/Q4,death,http://www.wikidata.org/entity/Q3,life
http://www.wikidata.org/entity/Q3,life,http://www.wikidata.org/entity/Q4,death
http://www.wikidata.org/entity/Q14819852,birth,http://www.wikidata.org/entity/Q4,death
http://www.wikidata.org/entity/Q18170708,non-human person,http://www.wikidata.org/entity/Q5,human
http://www.wikidata.org/entity/L291757,L291757,http://www.wikidata.org/entity/Q8,happiness
http://www.wikidata.org/entity/Q1598829,Malheur,http://www.wikidata.org/entity/Q8,happiness
http://www.wikidata.org/entity/Q105839683,unhappiness,http://www.wikidata.org/entity/Q8,happiness
http://www.wikidata.org/entity/Q55386374,non-pawn chess piece,http://www.wikidata.org/entity/Q135,pawn
http://www.wikidata.org/entity/Q2647467,non-alcoholic beverage,http://www.wikidata.org/entity/Q154,alcoholic beverage
http://www.wikidata.org/entity/Q454,peace,http://www.wikidata.org/entity/Q198,war
http://www.wikidata.org/entity/Q2114394,½,http://www.wikidata.org/entity/Q200,2
http://www.wikidata.org/entity/Q3827340,−2,http://www.wikidata.org/entity/Q200,2
http://www.wikidata.org/entity/Q10728826,−3,http://www.wikidata.org/entity/Q201,3
http://www.wikidata.org/entity/Q20021125,⅓,http://www.wikidata.org/entity/Q201,3
http://www.wikidata.org/entity/Q2310416,¼,http://www.wikidata.org/entity/Q202,4
http://www.wikidata.org/entity/Q10728827,−4,http://www.wikidata.org/entity/Q202,4
http://www.wikidata.org/entity/Q204,zero,http://www.wikidata.org/entity/Q204,zero
http://www.wikidata.org/entity/Q204,zero,http://www.wikidata.org/entity/Q205,infinity
http://www.wikidata.org/entity/Q60981852,Q60981852,http://www.wikidata.org/entity/Q205,infinity
http://www.wikidata.org/entity/Q3250296,acute angle,http://www.wikidata.org/entity/Q210,right angle
http://www.wikidata.org/entity/Q90860917,Q90860917,http://www.wikidata.org/entity/Q249,wireless communication
http://www.wikidata.org/entity/Q160232,hatred,http://www.wikidata.org/entity/Q316,love
http://www.wikidata.org/entity/Q272612,Steady State theory,http://www.wikidata.org/entity/Q323,Big Bang
http://www.wikidata.org/entity/Q28954762,non-science,http://www.wikidata.org/entity/Q336,science
http://www.wikidata.org/entity/Q218616,proprietary software,http://www.wikidata.org/entity/Q341,free software
http://www.wikidata.org/entity/Q192630,past,http://www.wikidata.org/entity/Q344,future
http://www.wikidata.org/entity/Q60741353,anti-corruption,http://www.wikidata.org/entity/Q366,corruption
http://www.wikidata.org/entity/Q18237,instinct,http://www.wikidata.org/entity/Q450,mind
http://www.wikidata.org/entity/Q198,war,http://www.wikidata.org/entity/Q454,peace
http://www.wikidata.org/entity/Q8441,man,http://www.wikidata.org/entity/Q467,woman
http://www.wikidata.org/entity/Q4464405,industriousness,http://www.wikidata.org/entity/Q484,laziness
http://www.wikidata.org/entity/Q5275945,enmity,http://www.wikidata.org/entity/Q491,friendship
http://www.wikidata.org/entity/Q2,Earth,http://www.wikidata.org/entity/Q527,sky
http://www.wikidata.org/entity/Q3363340,paradise,http://www.wikidata.org/entity/Q564,hell
http://www.wikidata.org/entity/Q4489450,heaven,http://www.wikidata.org/entity/Q564,hell
http://www.wikidata.org/entity/Q52643,daytime,http://www.wikidata.org/entity/Q575,night
http://www.wikidata.org/entity/Q131468,white hole,http://www.wikidata.org/entity/Q589,Black hole
http://www.wikidata.org/entity/Q110541178,heterosexual,http://www.wikidata.org/entity/Q592,gay
http://www.wikidata.org/entity/Q193353,phlogiston,http://www.wikidata.org/entity/Q629,oxygen
http://www.wikidata.org/entity/Q667,south,http://www.wikidata.org/entity/Q659,north
http://www.wikidata.org/entity/Q679,west,http://www.wikidata.org/entity/Q659,north
http://www.wikidata.org/entity/Q684,east,http://www.wikidata.org/entity/Q659,north
http://www.wikidata.org/entity/Q659,north,http://www.wikidata.org/entity/Q667,south
http://www.wikidata.org/entity/Q679,west,http://www.wikidata.org/entity/Q667,south
http://www.wikidata.org/entity/Q684,east,http://www.wikidata.org/entity/Q667,south
http://www.wikidata.org/entity/Q667,south,http://www.wikidata.org/entity/Q679,west
http://www.wikidata.org/entity/Q684,east,http://www.wikidata.org/entity/Q679,west
http://www.wikidata.org/entity/Q667,south,http://www.wikidata.org/entity/Q684,east
http://www.wikidata.org/entity/Q679,west,http://www.wikidata.org/entity/Q684,east
http://www.wikidata.org/entity/Q83500,intelligence,http://www.wikidata.org/entity/Q795,stupidity
http://www.wikidata.org/entity/Q934,North Pole,http://www.wikidata.org/entity/Q933,South Pole
http://www.wikidata.org/entity/Q933,South Pole,http://www.wikidata.org/entity/Q934,North Pole
http://www.wikidata.org/entity/Q130352,creationism,http://www.wikidata.org/entity/Q1063,evolution
http://www.wikidata.org/entity/Q11567495,colorlessness,http://www.wikidata.org/entity/Q1075,color
