id,en,ru,count
P457,foundational text,основополагающий текст,50541
P532,port of registry,порт приписки,25629
P740,location of formation,место создания,44482
P1817,addressee,получатель,49021
P58,screenwriter,сценарист,186866
P3085,qualifies for event,отборочный этап для,2803
P1704,is pollinator of,опылитель для,58
P1716,brand,бренд,15374
P3173,offers view on,открывает вид на,905
P1165,home world,родной мир,1648
P741,playing hand,играющая рука,6284
P4043,emulates,эмулирует,345
P3719,regulated by,регулируется,475
P8839,hairstyle,причёска,595
P4646,representation of,представление интересов,165
P8546,recording location,место записи,314
P7167,does not have effect,не вызывает,30
P1951,investor,инвестор,6294
P2554,production designer,художник-постановщик,13508
P66,ancestral home,предки из,1811
P7163,typically sells,обычно продаёт,299
P106,occupation,род занятий,9260065
P636,route of administration,способ введения,3001
P85,anthem,гимн,1691
P2841,age of onset,возраст манифестации,7
P5588,invasive to,инвазионный вид для,107
P1158,location of landing,место посадки,502
P689,afflicts,поражает,4196
P568,overlies,лежачий бок,1555
P3158,enclosure,включает,96
P2453,nominee,номинант,164
P9813,container,упаковка,60
P38,currency,денежная единица,2098
P183,endemic to,является эндемиком в,32262
P6902,era name,девиз правления,345
P2438,narrator,рассказчик,2267
P3491,muscle insertion,конечное место крепления мышцы,57
P282,writing system,письменность,611234
P291,place of publication,место публикации,271222
P6275,copyright representative,защитник авторских прав,81054
P20,place of death,место смерти,1212693
P3680,statement supported by,утверждение поддерживает,58
P5202,adapted by,адаптирован,3430
P2184,history of topic,история темы,2171
P3027,open period from,сезон открыт с,16
P1455,list of works,список произведений,1228
P5126,assistant director,второй режиссёр,559
P2882,relegated,выбывшие,2906
P2634,sitter,модель,280
P1625,has melody,содержит мелодию,2139
P5096,member of the crew of,член экипажа,1386
P5880,video designer,видеодизайнер,1229
P1990,species kept,содержащиеся виды,7902
P9972,illustrative content,иллюстративное содержание,61
P6954,online access status,статус онлайн-доступности,5602
P136,genre,жанр,1527395
P452,industry,отрасль,104004
P1462,standards body,орган по стандартизации,2799
P4510,describes a project that uses,используется в описываемом проекте,87086
P449,original broadcaster,первоначальный вещатель,93087
P6001,applies to people,касается людей,16
P2872,visitor centre,туристический центр,554
P5800,narrative role,нарративная роль,4591
P517,interaction,фундаментальные взаимодействия,291
P7937,form of creative work,форма искусства,342698
P6872,has written for,писал для,3252
P1884,hair color,цвет волос,11981
P3018,located in protected area,находится в охранной зоне,36798
P483,recorded at studio or venue,записано на,5412
P1686,for work,за работу,50
P4241,refine date,уточнение даты,0
P3975,secretary general,генеральный секретарь,1431
P1050,medical condition,состояние здоровья,241962
P2286,arterial supply,артериальное кровоснабжение,288
P140,religion or world view,религия,444622
P59,constellation,созвездие,7371215
P1434,takes place in fictional universe,описывает вымышленный мир,15814
P8289,parish church,приходская церковь,7312
P3912,newspaper format,газетный формат,4083
P1923,participating team,команда-участница,148066
P149,architectural style,архитектурный стиль,124958
P1389,product certification,сертификат продукта,8990
P1656,unveiled by,кем торжественно открыт,444
P509,cause of death,причина смерти,115623
P967,guest of honor,почётный гость,803
P3026,closed on,закрыто,136
P3081,damaged,повреждено,86
P6271,demonym of,этнохороним от,2640
P1013,criterion used,используемый критерий,69
P7469,orientation,ориентация,374
P8646,expansion of,дополнение относится к,1507
P5998,distributary,речной рукав,119
P538,fracturing,излом,11
P4968,relevant qualification,соответствующая квалификация,55
P35,head of state,глава государства,1841
P2715,elected in,выбран по результатам,183
P1677,index case of,указывающий случай для,29
P516,powered by,движитель,11110
P1142,political ideology,политическая идеология,23809
P8345,media franchise,медиафраншиза,28359
P2700,protocol,протокол,231
P1911,increased expression in,увеличенная экспрессия приводит к,148
P9241,demographics of topic,демография темы,1155
P2159,computes solution to,решает,119
P2568,repealed by,скорректирован,33377
