id,en,de,es,fr,count
P3719,regulated by,reguliert von,regulado por,régi par,469
P1704,is pollinator of,Bestäuber von,polinizador,pollinisateur de,58
P3173,offers view on,bietet Sicht auf,ofrece vista a,offre une vue sur,875
P3085,qualifies for event,qualifiziert für Turnier,califica para el evento,qualifie pour,2788
P4646,representation of,Vorstellung von,representación de,représentation de,165
P4043,emulates,emuliert,emula,émule,345
P1034,main food source,Hauptnahrungsquelle,fuente de alimento principal,source principale de nourriture,326
P457,foundational text,Gründungsvertrag,texto fundacional,texte fondateur,50534
P532,port of registry,Registerhafen,puerto de registro,quartier d'immatriculation,25610
P740,location of formation,Gründungsort,lugar de formación,lieu de fondation,44406
P1817,addressee,Adressat,destinatario,destinataire,49000
P122,basic form of government,Regierungsform,forma de gobierno,régime politique,2144
P58,screenwriter,Drehbuchautor,guionista,scénariste,185278
P5249,sports competition competed at,Teilnahme an Sportveranstaltung,competición deportiva participada,compétition sportive,718
P9072,derived from organism type,abgeleitet vom Organismentyp,derivado del organismo,dérivé de l'organisme,135867
P1716,brand,Marke,marca,marque,15367
P1165,home world,Heimatwelt,mundo de origen,monde d'origine,1646
P741,playing hand,Spielhand,mano utilizada,prise de raquette,6255
P5110,has grammatical person,hat grammatische Person,tiene la persona gramatical,a comme personne grammaticale,113
P6889,microarchitecture,Mikroarchitektur,microarquitectura,microarchitecture,197
P8839,hairstyle,Frisur,peinado,coiffure,581
P8546,recording location,Ort der Aufnahme,ubicación de la grabación,lieu d'enregistrement,314
P3080,game artist,Spielekünstler,artista de juegos,artiste multimédia,159
P534,streak color,Strichfarbe,color de la raya,couleur du trait,680
P7167,does not have effect,verursacht nicht,no tiene como efecto,n'a pas d'effet,29
P1951,investor,Investor,inversionista,investisseur,6286
P2554,production designer,Szenenbildner,diseñador de producción,chef décorateur,13497
P2358,Roman praenomen,römischer Vorname,praenomen,praenomen,6445
P66,ancestral home,Herkunftsort,hogar ancestral,foyer ancestral,1792
P8006,footedness,Füßigkeit,lateralidad de los pies,agilité des pieds,500
P7163,typically sells,verkauft im Allgemeinen,vende generalmente,vend généralement,299
P7938,associated electoral district,Wahlkreis,situado en la entidad territorial electoral,division électorale,62872
P786,stipe character,Stielform,carácter del estipe,caractère du stipe,664
P106,occupation,Tätigkeit,ocupación,occupation,9242546
P85,anthem,Hymne,himno,hymne,1692
P2841,age of onset,Erkrankungsalter,edad de aparición,âge d'apparition,7
P1811,list of episodes,Episodenliste,lista de episodios,liste des épisodes,4553
P631,structural engineer,Statiker,ingeniero estructural,ingénieur de structure,1781
P5588,invasive to,invasiv in,especie invasora en,envahit,107
P1158,location of landing,Landeplatz,sitio del aterrizaje,site d'atterrissage,501
P4608,scenographer,Bühnenbildner,escenógrafo,scénographe,9757
P103,native language,Muttersprache,lengua materna,langue maternelle,287064
P5995,kit supplier,technischer Ausrüster,proveedor de equipación,équipementier,293
P37,official language,Amtssprache,idioma oficial,langue officielle,21395
P689,afflicts,befällt,afecta,affecte,4188
P568,overlies,Liegend,suprayacente a,mur,1555
P3158,enclosure,Einhausung,recinto,enceinte,96
P2453,nominee,Nominierter,nominado,nommé,164
P38,currency,Währung,moneda,monnaie,2094
P183,endemic to,endemisch in,endémico en,endémique de,32251
P163,flag,Flagge,descripción de la bandera,drapeau,6537
P4805,make-up artist,Visagist,maquillador,maquilleur,506
P556,crystal system,Kristallsystem,sistema cristalino,système cristallin,5447
P2438,narrator,Erzähler,narrador,narrateur,2262
P3491,muscle insertion,Muskelansatz,inserción del músculo,insertion du muscle,57
P282,writing system,Schrift,alfabeto,système d'écriture,587905
P291,place of publication,Erscheinungsort,lugar de publicación,lieu de publication,269797
P2548,strand orientation,Strangorientierung,orientación de la cadena,orientation des brins,1034996
P6275,copyright representative,urheberrechtliche Vertretung durch,representante de derechos de autor,représentant des droits d'auteurs,81007
P20,place of death,Sterbeort,lugar de fallecimiento,lieu de mort,1208628
P3680,statement supported by,Aussage gestützt durch,afirmación sostenida por,déclaration soutenue par,57
P5202,adapted by,Bearbeiter,adaptación de,adaptation par,3400
P2184,history,Geschichte,historia,histoire,2182
P3027,open period from,geöffnet von Zeitpunkt,abierto desde,début de la période d'ouverture,16
P450,astronaut mission,Raumfahrtmission,misión del astronauta,mission de l'astronaute,1827
P2813,house publication,Hauspublikation,órgano de prensa,organe de presse,1070
P1455,list of works,Werkliste,lista de obras,liste des œuvres,1227
P3712,objective of project or action,angestrebtes Ziel,objetivo del proyecto o de la acción,objectif du projet ou de la mission,1623
P8822,epithet,Epitheton,epíteto,épithète,26
P3764,pole position,Pole Position,pole position,en pole position au départ,4737
P2361,online service,Onlinedienst,servicio en línea,service en ligne,48
P6606,study or design for,Studie oder Entwurf für,estudio o diseño para,étude ou travail préparatoire pour,272
P5126,assistant director,Regieassistent,ayudante de dirección,assistant réalisateur,550
P2882,relegated,Absteiger,relegado,relégué,2899
P2634,sitter,Modell,modelo,modèle,280
P1625,has melody,verwendet eine Melodie aus,tiene la melodía de,contient une mélodie de,2107
P5096,member of the crew of,Mitglied der Besatzung von,tripulante de,membre de l'équipage de,1359
P7228,access restriction status,Zugangsbeschränkung,restricción de acceso,conditions d'accès,403541
P1990,species kept,gehaltene Arten,especies presentes,espèce conservée,7902
P9972,illustrative content,illustrativer Inhalt,ilustraciones contenidas,contenu illustratif,59
P6954,online access status,Onlineverfügbarkeit,estatus de acceso,type d'accessibilité,5595
P136,genre,Genre,género,genre,1520165
P452,industry,Branche,industria,secteur d'activité,103636
P4770,hydrated form of,ist eine Hydrat-Form von,es una forma hidratada de,est une forme hydratée de,170
P1462,standards body,standardisiert von,organismo de normalización,organisme de normalisation,2799
P4510,describes a project that uses,beschriebenes Projekt benutzt,describe un proyecto que usa,décrit un projet qui utilise,87048
P449,original broadcaster,Sender der Erstausstrahlung,emisora original,diffuseur original,90308
P6001,applies to people,gilt für Leute,válido para,s'applique aux personnes,16
P2872,visitor centre,Touristeninformation,oficina de turismo,office de tourisme,553
P5800,narrative role,narrative Funktion,función narrativa,rôle narratologique,4581
P517,interaction,Wechselwirkung,interacción,interaction,291
P7937,form of creative work,künstlerische Form,forma artística,forme de l'œuvre,339736
P6872,has written for,hat geschrieben für,editor en,rédacteur à,3180
P1884,hair color,Haarfarbe,color de pelo,couleur des cheveux,11929
P3018,located in protected area,liegt in Schutzgebiet,localizado en el área protegida,aire protégée,36525
P483,recorded at studio or venue,Aufnahmeort,grabado en,studio d'enregistrement,5401
P1686,for work,für das Werk,premiado por la obra,récompense pour,50
P3975,secretary general,Generalsekretär,secretario general,secrétaire général,1417
P1050,medical condition,Erkrankung,condición médica,affection médicale,241890
P2286,arterial supply,arterieller Zustrom,irrigación arterial,artère,288
P59,constellation,Sternbild,constelación,constellation,7371206
P1201,space tug,Raketenoberstufe,remolcador espacial,remorqueur spatial,409
P8138,located in the statistical territorial entity,liegt in der statistischen Einheit,situado en la entidad territorial estadística,situé dans l'entité territoriale statistique,31918
P1434,takes place in fictional universe,beschreibt fiktives Universum,describe el universo ficticio,décrit l'univers de fiction,14683
P8289,parish church,Pfarrkirche,iglesia parroquial,église paroissiale,7307
P3912,newspaper format,Zeitungsformat,formato de periódico,format de journal,4084
P1923,participating team,teilnehmendes Team,equipo participante,équipes participantes,147529
P930,type of electrification,Bahnstromsystem,tipo de electrificación,type d'électrification,5558
P1546,motto,Wahlspruch,lema,devise,506
P149,architectural style,Architekturstil,estilo arquitectónico,style architectural,124633
P1389,product certification,Produktzertifikat,certificación del producto,certificat de produit,8990
P3803,original film format,Filmformat,formato original de la película,format de film original,6458
P1656,unveiled by,enthüllt von,develado por,dévoilé par,439
P509,cause of death,Todesursache,causa de muerte,cause de la mort,115336
P967,guest of honor,Ehrengast,invitado de honor,invité d'honneur,733
P2925,domain of saint or deity,Patron von,dominio del santo o deidad,domaine du saint ou de la divinité,843
P3026,closed on,geschlossen an/am,cerrado en,jours de fermeture,136
P3081,damaged,beschädigt,ha dañado,endommage,86
P6271,demonym of,Demonym zu,gentilicio de,gentilé de,2629
P6086,dramaturge,Dramaturg,dramaturgo,dramaturge (de production),3252
P111,measured physical quantity,gemessene physikalische Größe,cantidad física medida,grandeur physique mesurée,3610
P1013,criterion used,verwendetes Kriterium,criterio utilizado,critère utilisé,69
P8646,expansion of,Erweiterung von,expansión de,extension de,1498
P1956,takeoff and landing capability,Start- und Landeweise,despegue y aterrizaje,décollage et atterrissage,5
P5998,distributary,Mündungsarm,distributario,défluent,119
P538,fracturing,Bruch,fractura,cassure,11
P4968,relevant qualification,relevante Qualifikation,cualificación relevante,qualification pertinente,55
