id,en,de,es,fr
P3719,regulated by,reguliert von,regulado por,régi par
P1704,is pollinator of,Bestäuber von,polinizador,pollinisateur de
P3173,offers view on,bietet Sicht auf,ofrece vista a,offre une vue sur
P3085,qualifies for event,qualifiziert für Turnier,califica para el evento,qualifie pour
P4646,representation of,Vorstellung von,representación de,représentation de
P4043,emulates,emuliert,emula,émule
P1034,main food source,Hauptnahrungsquelle,fuente de alimento principal,source principale de nourriture
P457,foundational text,Gründungsvertrag,texto fundacional,texte fondateur
P532,port of registry,Registerhafen,puerto de registro,quartier d'immatriculation
P740,location of formation,Gründungsort,lugar de formación,lieu de fondation
P1817,addressee,Adressat,destinatario,destinataire
P122,basic form of government,Regierungsform,forma de gobierno,régime politique
P58,screenwriter,Drehbuchautor,guionista,scénariste
P5249,sports competition competed at,Teilnahme an Sportveranstaltung,competición deportiva participada,compétition sportive
P9072,derived from organism type,abgeleitet vom Organismentyp,derivado del organismo,dérivé de l'organisme
P1716,brand,Marke,marca,marque
P1165,home world,Heimatwelt,mundo de origen,monde d'origine
P741,playing hand,Spielhand,mano utilizada,prise de raquette
P5110,has grammatical person,hat grammatische Person,tiene la persona gramatical,a comme personne grammaticale
P6889,microarchitecture,Mikroarchitektur,microarquitectura,microarchitecture
P8839,hairstyle,Frisur,peinado,coiffure
P8546,recording location,Ort der Aufnahme,ubicación de la grabación,lieu d'enregistrement
P3080,game artist,Spielekünstler,artista de juegos,artiste multimédia
P534,streak color,Strichfarbe,color de la raya,couleur du trait
P7167,does not have effect,verursacht nicht,no tiene como efecto,n'a pas d'effet
P1951,investor,Investor,inversionista,investisseur
P2554,production designer,Szenenbildner,diseñador de producción,chef décorateur
P2358,Roman praenomen,römischer Vorname,praenomen,praenomen
P66,ancestral home,Herkunftsort,hogar ancestral,foyer ancestral
P8006,footedness,Füßigkeit,lateralidad de los pies,agilité des pieds
P7163,typically sells,verkauft im Allgemeinen,vende generalmente,vend généralement
P7938,associated electoral district,Wahlkreis,situado en la entidad territorial electoral,division électorale
P786,stipe character,Stielform,carácter del estipe,caractère du stipe
P106,occupation,Tätigkeit,ocupación,occupation
P85,anthem,Hymne,himno,hymne
P2841,age of onset,Erkrankungsalter,edad de aparición,âge d'apparition
P1811,list of episodes,Episodenliste,lista de episodios,liste des épisodes
P631,structural engineer,Statiker,ingeniero estructural,ingénieur de structure
P5588,invasive to,invasiv in,especie invasora en,envahit
P1158,location of landing,Landeplatz,sitio del aterrizaje,site d'atterrissage
P4608,scenographer,Bühnenbildner,escenógrafo,scénographe
P103,native language,Muttersprache,lengua materna,langue maternelle
P5995,kit supplier,technischer Ausrüster,proveedor de equipación,équipementier
P37,official language,Amtssprache,idioma oficial,langue officielle
P689,afflicts,befällt,afecta,affecte
P568,overlies,Liegend,suprayacente a,mur
P3158,enclosure,Einhausung,recinto,enceinte
P2453,nominee,Nominierter,nominado,nommé
P38,currency,Währung,moneda,monnaie
P183,endemic to,endemisch in,endémico en,endémique de
P163,flag,Flagge,descripción de la bandera,drapeau
P4805,make-up artist,Visagist,maquillador,maquilleur
P556,crystal system,Kristallsystem,sistema cristalino,système cristallin
P2438,narrator,Erzähler,narrador,narrateur
P3491,muscle insertion,Muskelansatz,inserción del músculo,insertion du muscle
P282,writing system,Schrift,alfabeto,système d'écriture
P291,place of publication,Erscheinungsort,lugar de publicación,lieu de publication
P2548,strand orientation,Strangorientierung,orientación de la cadena,orientation des brins
P6275,copyright representative,urheberrechtliche Vertretung durch,representante de derechos de autor,représentant des droits d'auteurs
P20,place of death,Sterbeort,lugar de fallecimiento,lieu de mort
P3680,statement supported by,Aussage gestützt durch,afirmación sostenida por,déclaration soutenue par
P5202,adapted by,Bearbeiter,adaptación de,adaptation par
P2184,history,Geschichte,historia,histoire
P3027,open period from,geöffnet von Zeitpunkt,abierto desde,début de la période d'ouverture
P450,astronaut mission,Raumfahrtmission,misión del astronauta,mission de l'astronaute
P2813,house publication,Hauspublikation,órgano de prensa,organe de presse
P1455,list of works,Werkliste,lista de obras,liste des œuvres
P3712,objective of project or action,angestrebtes Ziel,objetivo del proyecto o de la acción,objectif du projet ou de la mission
P8822,epithet,Epitheton,epíteto,épithète
P3764,pole position,Pole Position,pole position,en pole position au départ
P2361,online service,Onlinedienst,servicio en línea,service en ligne
P6606,study or design for,Studie oder Entwurf für,estudio o diseño para,étude ou travail préparatoire pour
P5126,assistant director,Regieassistent,ayudante de dirección,assistant réalisateur
P2882,relegated,Absteiger,relegado,relégué
P2634,sitter,Modell,modelo,modèle
P1625,has melody,verwendet eine Melodie aus,tiene la melodía de,contient une mélodie de
P5096,member of the crew of,Mitglied der Besatzung von,tripulante de,membre de l'équipage de
P7228,access restriction status,Zugangsbeschränkung,restricción de acceso,conditions d'accès
P1990,species kept,gehaltene Arten,especies presentes,espèce conservée
P9972,illustrative content,illustrativer Inhalt,ilustraciones contenidas,contenu illustratif
P6954,online access status,Onlineverfügbarkeit,estatus de acceso,type d'accessibilité
P136,genre,Genre,género,genre
P452,industry,Branche,industria,secteur d'activité
P4770,hydrated form of,ist eine Hydrat-Form von,es una forma hidratada de,est une forme hydratée de
P1462,standards body,standardisiert von,organismo de normalización,organisme de normalisation
P4510,describes a project that uses,beschriebenes Projekt benutzt,describe un proyecto que usa,décrit un projet qui utilise
P449,original broadcaster,Sender der Erstausstrahlung,emisora original,diffuseur original
P6001,applies to people,gilt für Leute,válido para,s'applique aux personnes
P2872,visitor centre,Touristeninformation,oficina de turismo,office de tourisme
P5800,narrative role,narrative Funktion,función narrativa,rôle narratologique
P517,interaction,Wechselwirkung,interacción,interaction
P7937,form of creative work,künstlerische Form,forma artística,forme de l'œuvre
P6872,has written for,hat geschrieben für,editor en,rédacteur à
P1884,hair color,Haarfarbe,color de pelo,couleur des cheveux
P3018,located in protected area,liegt in Schutzgebiet,localizado en el área protegida,aire protégée
P483,recorded at studio or venue,Aufnahmeort,grabado en,studio d'enregistrement
P1686,for work,für das Werk,premiado por la obra,récompense pour
P3975,secretary general,Generalsekretär,secretario general,secrétaire général
P1050,medical condition,Erkrankung,condición médica,affection médicale
P2286,arterial supply,arterieller Zustrom,irrigación arterial,artère
P59,constellation,Sternbild,constelación,constellation
P1201,space tug,Raketenoberstufe,remolcador espacial,remorqueur spatial
P8138,located in the statistical territorial entity,liegt in der statistischen Einheit,situado en la entidad territorial estadística,situé dans l'entité territoriale statistique
P1434,takes place in fictional universe,beschreibt fiktives Universum,describe el universo ficticio,décrit l'univers de fiction
P8289,parish church,Pfarrkirche,iglesia parroquial,église paroissiale
P3912,newspaper format,Zeitungsformat,formato de periódico,format de journal
P1923,participating team,teilnehmendes Team,equipo participante,équipes participantes
P930,type of electrification,Bahnstromsystem,tipo de electrificación,type d'électrification
P1546,motto,Wahlspruch,lema,devise
P149,architectural style,Architekturstil,estilo arquitectónico,style architectural
P1389,product certification,Produktzertifikat,certificación del producto,certificat de produit
P3803,original film format,Filmformat,formato original de la película,format de film original
P1656,unveiled by,enthüllt von,develado por,dévoilé par
P509,cause of death,Todesursache,causa de muerte,cause de la mort
P967,guest of honor,Ehrengast,invitado de honor,invité d'honneur
P2925,domain of saint or deity,Patron von,dominio del santo o deidad,domaine du saint ou de la divinité
P3026,closed on,geschlossen an/am,cerrado en,jours de fermeture
P3081,damaged,beschädigt,ha dañado,endommage
P6271,demonym of,Demonym zu,gentilicio de,gentilé de
P6086,dramaturge,Dramaturg,dramaturgo,dramaturge (de production)
P111,measured physical quantity,gemessene physikalische Größe,cantidad física medida,grandeur physique mesurée
P1013,criterion used,verwendetes Kriterium,criterio utilizado,critère utilisé
