id,ru,ja,count
P1034,основной источник питания,主な食料源,326
P457,основополагающий текст,設立文,50541
P532,порт приписки,船籍港,25629
P740,место создания,結成場所,44482
P1817,получатель,宛名,49021
P122,форма правления,政治体制,2152
P3085,отборочный этап для,出場資格判断イベント,2803
P1704,опылитель для,以下の送粉者,58
P1716,бренд,ブランド,15374
P3173,открывает вид на,眺望できるもの,905
P1165,родной мир,故郷,1648
P741,играющая рука,ラケットの持ち手,6284
P4043,эмулирует,エミュレート対象,345
P6889,микроархитектура,マイクロアーキテクチャ,198
P3719,регулируется,規制当局,475
P8839,причёска,髪型,595
P534,цвет черты,条痕色,680
P7167,не вызывает,以下は無効,30
P1951,инвестор,投資家,6294
P2554,художник-постановщик,プロダクションデザイナー,13508
P66,предки из,祖籍,1811
P8006,рабочая нога,利き足,514
P7163,обычно продаёт,取扱商品,299
P3275,художник раскадровки,絵コンテ,697
P106,род занятий,職業,9260065
P636,способ введения,投与経路,3001
P85,гимн,アンセム,1691
P2841,возраст манифестации,発症年齢,7
P631,инженер-строитель,構造設計,1781
P5588,инвазионный вид для,侵入先,107
P1158,место посадки,着地点,502
P103,родной язык,母語,287778
P5995,технический спонсор,キットサプライヤー,293
P1435,статус наследия,遺産保護指定,2062512
P689,поражает,障害部位,4196
P568,лежачий бок,下位層,1555
P2453,номинант,候補者,164
P9813,упаковка,容器,60
P38,денежная единица,通貨,2098
P183,является эндемиком в,生息域,32262
P556,кристаллическая система,結晶系,5448
P4988,метод испытания,試験方法,27
P6948,видеосистема,ビデオシステム,7
P2992,обеспечение качества ПО,ソフトウェア品質保証,447
P2438,рассказчик,ナレーター,2267
P3491,конечное место крепления мышцы,筋停止部,57
P282,письменность,文字体系,611234
P291,место публикации,出版地,271222
P6275,защитник авторских прав,著作権代表者,81054
P20,место смерти,死亡地,1212693
P3680,утверждение поддерживает,この主張の支持者,58
P5202,адаптирован,翻案,3430
P2184,история темы,主題の歴史,2171
P450,летал на,宇宙飛行士のミッション,1836
P2813,издание организации,社内報,1120
P6942,художник-мультипликатор,アニメーター,4025
P3712,цель проекта или миссии,計画や行為の目的,1632
P8822,эпитет,形容語句,26
P3764,поул-позиция,ポールポジション,4769
P2361,онлайн-сервис,オンラインサービス,48
P5126,второй режиссёр,助監督,559
P2882,выбывшие,勝利した対戦相手,2906
P2634,модель,作品モデル,280
P1625,содержит мелодию,引用された旋律,2139
P5096,член экипажа,以下の乗組員,1386
P1990,содержащиеся виды,飼育生物,7902
P9972,иллюстративное содержание,実例となる内容,61
P1462,орган по стандартизации,標準化団体,2799
P449,первоначальный вещатель,放送当初のネットワーク,93087
P6001,касается людей,あてはまる人々,16
