id,ru,ja,en,count
P1034,основной источник питания,主な食料源,main food source,326
P457,основополагающий текст,設立文,foundational text,50541
P532,порт приписки,船籍港,port of registry,25629
P740,место создания,結成場所,location of formation,44482
P1817,получатель,宛名,addressee,49021
P122,форма правления,政治体制,basic form of government,2152
P3085,отборочный этап для,出場資格判断イベント,qualifies for event,2803
P1704,опылитель для,以下の送粉者,is pollinator of,58
P1716,бренд,ブランド,brand,15374
P3173,открывает вид на,眺望できるもの,offers view on,905
P1165,родной мир,故郷,home world,1648
P741,играющая рука,ラケットの持ち手,playing hand,6284
P4043,эмулирует,エミュレート対象,emulates,345
P6889,микроархитектура,マイクロアーキテクチャ,microarchitecture,198
P3719,регулируется,規制当局,regulated by,475
P8839,причёска,髪型,hairstyle,595
P534,цвет черты,条痕色,streak color,680
P7167,не вызывает,以下は無効,does not have effect,30
P1951,инвестор,投資家,investor,6294
P2554,художник-постановщик,プロダクションデザイナー,production designer,13508
P66,предки из,祖籍,ancestral home,1811
P8006,рабочая нога,利き足,footedness,514
P7163,обычно продаёт,取扱商品,typically sells,299
P3275,художник раскадровки,絵コンテ,storyboard artist,697
P106,род занятий,職業,occupation,9260065
P636,способ введения,投与経路,route of administration,3001
P85,гимн,アンセム,anthem,1691
P2841,возраст манифестации,発症年齢,age of onset,7
P631,инженер-строитель,構造設計,structural engineer,1781
P5588,инвазионный вид для,侵入先,invasive to,107
P1158,место посадки,着地点,location of landing,502
P103,родной язык,母語,native language,287778
P5995,технический спонсор,キットサプライヤー,kit supplier,293
P1435,статус наследия,遺産保護指定,heritage designation,2062512
P689,поражает,障害部位,afflicts,4196
P568,лежачий бок,下位層,overlies,1555
P2453,номинант,候補者,nominee,164
P9813,упаковка,容器,container,60
P38,денежная единица,通貨,currency,2098
P183,является эндемиком в,生息域,endemic to,32262
P556,кристаллическая система,結晶系,crystal system,5448
P4988,метод испытания,試験方法,test method,27
P6948,видеосистема,ビデオシステム,video system,7
P2992,обеспечение качества ПО,ソフトウェア品質保証,software quality assurance,447
P2438,рассказчик,ナレーター,narrator,2267
P3491,конечное место крепления мышцы,筋停止部,muscle insertion,57
P282,письменность,文字体系,writing system,611234
P291,место публикации,出版地,place of publication,271222
P6275,защитник авторских прав,著作権代表者,copyright representative,81054
P20,место смерти,死亡地,place of death,1212693
P3680,утверждение поддерживает,この主張の支持者,statement supported by,58
P5202,адаптирован,翻案,adapted by,3430
P2184,история темы,主題の歴史,history of topic,2171
P450,летал на,宇宙飛行士のミッション,astronaut mission,1836
P2813,издание организации,社内報,house publication,1120
P6942,художник-мультипликатор,アニメーター,animator,4025
P3712,цель проекта или миссии,計画や行為の目的,objective of project or action,1632
P8822,эпитет,形容語句,epithet,26
P3764,поул-позиция,ポールポジション,pole position,4769
P2361,онлайн-сервис,オンラインサービス,online service,48
P5126,второй режиссёр,助監督,assistant director,559
P2882,выбывшие,勝利した対戦相手,relegated,2906
P2634,модель,作品モデル,sitter,280
P1625,содержит мелодию,引用された旋律,has melody,2139
P5096,член экипажа,以下の乗組員,member of the crew of,1386
P1990,содержащиеся виды,飼育生物,species kept,7902
P9972,иллюстративное содержание,実例となる内容,illustrative content,61
P1462,орган по стандартизации,標準化団体,standards body,2799
P449,первоначальный вещатель,放送当初のネットワーク,original broadcaster,93087
P6001,касается людей,あてはまる人々,applies to people,16
P5800,нарративная роль,作中の役割,narrative role,4591
P517,фундаментальные взаимодействия,相互作用,interaction,291
P7937,форма искусства,創作物の形式,form of creative work,342698
P6872,писал для,寄稿先,has written for,3252
P1884,цвет волос,髪の色,hair color,11981
P3018,находится в охранной зоне,位置する保護区,located in protected area,36798
P1686,за работу,対象作品,for work,50
P4241,уточнение даты,該当時期,refine date,0
P3975,генеральный секретарь,総書記,secretary general,1431
P140,религия,宗教,religion or world view,444622
P59,созвездие,星座,constellation,7371215
P1434,описывает вымышленный мир,舞台の架空世界,takes place in fictional universe,15814
P1923,команда-участница,参加チーム,participating team,148066
P930,система электрификации,電化方式,type of electrification,5562
P1546,описание девиза,標語,motto,509
P149,архитектурный стиль,建築様式,architectural style,124958
P1389,сертификат продукта,製品認証基準,product certification,8990
P1656,кем торжественно открыт,除幕者,unveiled by,444
P509,причина смерти,死因,cause of death,115623
P967,почётный гость,来賓,guest of honor,803
P3026,закрыто,休業日,closed on,136
P3081,повреждено,半壊,damaged,86
P111,физическая величина,測られる物理量,measured physical quantity,3611
P1013,используемый критерий,使用した基準,criterion used,69
P8646,дополнение относится к,以下の拡張パック,expansion of,1507
P5998,речной рукав,派川,distributary,119
P538,излом,断口,fracturing,11
P4968,соответствующая квалификация,関連する資格,relevant qualification,55
P680,молекулярная функция,分子機能,molecular function,1210165
P35,глава государства,元首,head of state,1841
P2715,выбран по результатам,選出選挙名,elected in,183
P589,точечная группа симметрии,点群,point group,274
P516,движитель,動力装置・エンジン,powered by,11110
P1142,политическая идеология,政治イデオロギー,political ideology,23809
P2700,протокол,プロトコル,protocol,231
P2827,цвет цветков,花の色,flower color,551
P9241,демография темы,主題の人口統計,demographics of topic,1155
P2159,решает,解決可能問題,computes solution to,119
P2568,скорректирован,以下の文書によって廃止,repealed by,33377
P823,выступающий,講演者,speaker,5293
P4100,парламентская группа,会派,parliamentary group,1970
P495,страна происхождения,本国,country of origin,1345801
P1056,продукция,生産品目,product or material produced,45764
P2348,эра,時代,time period,202625
P3602,кандидат на выборах,立候補選挙,candidacy in election,158938
P1412,"языки, на которых говорит или пишет персона",使用可能言語,"languages spoken, written or signed",2221570
P1308,должность занимает,在職者,officeholder,17533
P750,распространяется,配給元,distributed by,158589
P364,язык оригинала фильма или телешоу,原語,original language of film or TV show,379770
P5134,оценка для,以下の評価,evaluation of,26
P88,заказчик произведения,依頼者,commissioned by,23429
P3189,иннервируется,支配神経,innervated by,293
P1011,исключая,以下を除く,excluding,6
P1995,медицинская специальность,診療科,health specialty,10263
P415,формат радио,ラジオ・フォーマット,radio format,3611
P1310,утверждение оспаривается,この主張の反対者,statement disputed by,5
P1444,пункт назначения,目的地,destination point,25554
P4330,содержит,内容,contains,8269
P5095,разлом,断層,fault,20
P2633,география темы,主題の地理,geography of topic,726
P800,известная работа,主要作品,notable work,96985
P1775,является последователем,以下のフォロワー,follower of,22
P1606,является носителем патогена,以下の自然宿主,natural reservoir of,17
P1264,действительно для периода,あてはまる期間,valid in period,219
P4774,биологическая фаза,生物学的時期,biological phase,21
P27,гражданство,国籍,country of citizenship,4426813
P3274,хостинг,コンテンツの提供元,content deliverer,6
P2679,автор предисловия,まえがきの筆者,author of foreword,1543
P913,обозначение,表記法,notation,214
P1909,побочный эффект,副作用,side effect,39
P2079,метод изготовления,制作技法,fabrication method,126162
P1605,носитель возбудителя инфекции,自然宿主,has natural reservoir,443
P1537,способствует,以下の寄与因子,contributing factor of,324
P2881,вышедшие,選抜された対戦相手,promoted,1228
P469,водоём на реке,関係する湖,lakes on river,3384
P542,кем официально открыт,公式開会者,officially opened by,1047
P8739,запрещает,以下を禁止する,prohibits,16
P2318,дебют для участника,初参加者,debut participant,217
P4290,официальное приложение,公式アプリ,official app,101
P2675,в ответ на,返信先,reply to,387
P275,лицензия,利用許諾,copyright license,161241
P87,автор либретто,台本作家,librettist,7358
P1363,кем забиты голы или набраны очки,得点者,points/goal scored by,2441
P768,избирательный округ,選挙区,electoral district,18986
P1068,набор инструкций,命令セット,instruction set,448
P358,дискография,ディスコグラフィ,discography,11952
P84,архитектор,設計,architect,75317
P6118,окончание сезона,シーズン終了時期,season ends,39
