id,ru,zh,en,count
P1034,основной источник питания,主要食物來源,main food source,326
P457,основополагающий текст,成立文书,foundational text,50541
P532,порт приписки,船籍港,port of registry,25629
P740,место создания,成立地點,location of formation,44482
P1817,получатель,收件人,addressee,49021
P122,форма правления,政体,basic form of government,2152
P58,сценарист,編劇,screenwriter,186866
P1716,бренд,品牌,brand,15374
P4043,эмулирует,模拟,emulates,345
P6889,микроархитектура,微架構,microarchitecture,198
P8839,причёска,发型,hairstyle,595
P3080,игровой художник,游戏艺术家,game artist,159
P7167,не вызывает,没有效果,does not have effect,30
P1951,инвестор,投資者,investor,6294
P2554,художник-постановщик,美術指導,production designer,13508
P66,предки из,籍贯,ancestral home,1811
P7163,обычно продаёт,销售商品,typically sells,299
P3275,художник раскадровки,分镜师,storyboard artist,697
P7938,ассоциированный избирательный округ,所属选区,associated electoral district,62894
P106,род занятий,职业,occupation,9260065
P636,способ введения,给药途径,route of administration,3001
P2841,возраст манифестации,发病年龄,age of onset,7
P1158,место посадки,降落地點,location of landing,502
P4608,сценограф,舞台设计师,scenographer,9780
P37,официальный язык,官方语言,official language,21472
P1435,статус наследия,遗产名称,heritage designation,2062512
P689,поражает,影响,afflicts,4196
P183,является эндемиком в,特有分布,endemic to,32262
P163,описание флага,旗帜,flag,6539
P4805,художник-визажист,化妝師,make-up artist,512
P6902,девиз правления,年号,era name,345
P2438,рассказчик,敘事者,narrator,2267
P282,письменность,書寫系統,writing system,611234
P291,место публикации,出版地,place of publication,271222
P6275,защитник авторских прав,版權代表人,copyright representative,81054
P20,место смерти,死亡地,place of death,1212693
P3680,утверждение поддерживает,主张此叙述者,statement supported by,58
P5202,адаптирован,改編者,adapted by,3430
P2184,история темы,話題历史,history of topic,2171
P1455,список произведений,作品列表,list of works,1228
P6942,художник-мультипликатор,动画师,animator,4025
P8822,эпитет,修飾詞,epithet,26
P2361,онлайн-сервис,线上服务,online service,48
P2882,выбывшие,降级,relegated,2906
P2634,модель,模特,sitter,280
P1990,содержащиеся виды,饲养品种,species kept,7902
P136,жанр,類型,genre,1527395
