id,en,de,es,fr,count
P6872,has written for,hat geschrieben für,editor en,rédacteur à,3045
P1775,follower of,Anhänger von,seguidor de,suiveur de,21
T1,is part of,ist Teil von,None,None,None
T2,died in,starb in,None,None,None
T3,shares border with,gemeinsame Grenze mit,None,None,None
T4,opposite of,Gegenteil von,None,None,None
T5,replaced by,ersetzt durch,None,None,None
T6,part of,Teil von,None,None,None
P2675,reply to,Antwort auf,respuesta a,réponse à,362
P1012,including,einschließlich,incluyendo,pris en compte,58
P1706,together with,zusammen mit,junto con,avec,65
T7,is located in,befindet sich in,None,None,None
T8,is the capital of,ist Hauptstadt von,None,None,None
