Unnamed: 0,id,en,es,fr,de,ru,ja,zh,count
0,P530,diplomatic relation,relación diplomática,relation diplomatique,diplomatische Beziehung,дипломатические отношения,国交のある国,邦交國,7046
1,P47,shares border with,comparte fronteras con,limitrophe de,gemeinsame Grenze mit,имеет границы с,隣の国または行政区画,接壤,605173
2,P461,opposite of,opuesto a,contraire,Gegenteil von,противоположно,反対の概念,相反面,23857
3,P460,said to be the same as,se dice que es lo mismo que,réputé identique à,eventuell gleichwertig,предположительно одно и то же с,同一とされる事物,据称相同,285208
4,P3373,sibling,hermano o hermana,frère ou sœur,Geschwister,брат/сестра,兄弟姉妹,兄弟姊妹,407131
5,P26,spouse,cónyuge,conjoint,Ehepartner(in),супруг(а),配偶者,配偶,731197
6,P7047,enemy of,enemigo de,ennemi de,Feind von,враг,敵,敌人,3809
7,P451,unmarried partner,pareja,partenaire,Lebenspartner/-in,сожитель,婚姻関係にないパートナー,非婚伴侣,14156
8,P1889,different from,diferente de,à ne pas confondre avec,verschieden von,не путать с,以下と異なる,相异於,801466
9,P3403,coextensive with,mismo territorio que,a le même territoire que,koexistiert mit,занимает ту же территорию с,同一境界,空间重合实体,4076
10,P190,twinned administrative body,ciudad hermana,jumelage ou partenariat,Partnerkommune,город-побратим,姉妹都市,友好城市,48990
11,P2152,antiparticle,antipartícula,antiparticule,Antiteilchen,античастица,反粒子,,79
12,P1382,partially coincident with,parcialmente coincidente con,coïncide partiellement avec,teilweise übereinstimmend mit,частично совпадает с,重複,部分重合物,17887
13,P4777,has boundary,delimitado por,délimité par,hat als Grenze,имеет границей,以下を境界として持つ,,1156
14,P1038,relative,pariente,parentèle,Verwandte,родственник,親族,亲属,52123
15,P197,adjacent station,estación adyacente,gare voisine,benachbarte Station,соседний остановочный пункт,隣の駅,相邻车站,209079
16,P833,interchange station,estación de intercambio,pôle d'échanges,Umsteigebahnhof,станция пересадки,乗換駅,换乘车站,3685
17,P2789,connects with,se conecta con,se connecte avec,physisch verbunden mit,соединяется с,以下と接続,连接,183333
18,P3342,significant person,persona relevante,personne clé,relevante Person,значимый человек,重要な人物,重要人物,15439
19,P1327,partner in business or sport,en conjunto con,partenaire professionnel ou sportif,Berufs- oder Sportpartner,партнёр в спорте или профессии,専門家またはスポーツのパートナー,专业或体育合作伙伴,17571
20,P399,companion of,compañero de,compagnon de,Begleiter,компаньон,伴天体,伴天体,4476
21,P1420,taxon synonym,sinónimo taxonómico,synonyme taxinomique,taxonomische Synonyme,синоним таксона,シノニム,同物異名,21387
22,P129,physically interacts with,interactúa físicamente con,interagit physiquement avec,interagiert physikalisch mit,взаимодействует с,物理的相互作用,物理相互作用于,9480
23,P1322,dual to,dual de,dual de,dual zu,двойственнен к,双対,對偶幾何圖形,351
24,P2375,has superpartner,tiene como s-partícula,a comme superpartenaire,hat Superpartner,суперсимметричный партнёр,超対称性パートナー,其超對稱粒子為,20
25,P8702,parallel street,calle paralela,rue parallèle,Parallelstraße,,並行道,,54
26,P1639,pendant of,pendant de,pendant de,Pendant,пандан для,以下と対,,2268
27,P3032,adjacent building,edificio adyacente,bâtiment adjacent,Nachbargebäude,смежное здание,隣接する建築物,相邻建筑,5242
28,P6185,tautomer of,tautómero de,tautomère de,Tautomer von,таутомер,以下の互変異性体,互变异构体,1063
29,P3179,territory overlaps,solapamiento territorial,recouvrement territorial,Territorium überschneidet sich mit,территория перекрывается с,重なる地域,领土重合于,8370
30,P144,based on,basado en,basé sur,basiert auf,создано на основе,派生元,改編自,52294
31,P737,influenced by,influenciado por,influencé par,beeinflusst von,испытал влияние от,影響を受けたもの,影响自,18552
32,P2444,homoglyph,homoglifo,homoglyphe,Homoglyph,омоглиф,ホモグリフ,同形字,1752
