id,zh,ja,count
P1034,主要食物來源,主な食料源,326
P457,成立文书,設立文,50541
P532,船籍港,船籍港,25629
P740,成立地點,結成場所,44482
P1817,收件人,宛名,49021
P122,政体,政治体制,2152
P58,編劇,脚本,186866
P1716,品牌,ブランド,15374
P1165,來源星球,故郷,1648
P4043,模拟,エミュレート対象,345
P6889,微架構,マイクロアーキテクチャ,198
P8839,发型,髪型,595
P7167,没有效果,以下は無効,30
P1951,投資者,投資家,6294
P2554,美術指導,プロダクションデザイナー,13508
P66,籍贯,祖籍,1811
P7163,销售商品,取扱商品,299
P3275,分镜师,絵コンテ,697
P7938,所属选区,関連する選挙区,62894
P106,职业,職業,9260065
P636,给药途径,投与経路,3001
P85,颂歌,アンセム,1691
P2841,发病年龄,発症年齢,7
P1811,剧集列表,エピソードの一覧,4553
P631,結構工程師,構造設計,1781
P1158,降落地點,着地点,502
P103,母语,母語,287778
P37,官方语言,公用語,21472
P6563,關鍵績效指標,KPI,13
P1435,遗产名称,遺産保護指定,2062512
P689,影响,障害部位,4196
P38,货币,通貨,2098
P183,特有分布,生息域,32262
P163,旗帜,旗,6539
P6902,年号,元号,345
P2438,敘事者,ナレーター,2267
P282,書寫系統,文字体系,611234
P291,出版地,出版地,271222
P6275,版權代表人,著作権代表者,81054
P20,死亡地,死亡地,1212693
P3680,主张此叙述者,この主張の支持者,58
P5202,改編者,翻案,3430
P2184,話題历史,主題の歴史,2171
P450,航天任务,宇宙飛行士のミッション,1836
P1455,作品列表,作品集,1228
P3712,計畫目標,計画や行為の目的,1632
P2361,线上服务,オンラインサービス,48
P2882,降级,勝利した対戦相手,2906
P2634,模特,作品モデル,280
P1990,饲养品种,飼育生物,7902
P136,類型,ジャンル,1527395
P452,产业,業種,104004
P1462,標準組織,標準化団体,2799
P449,首播电视台,放送当初のネットワーク,93087
P5800,故事角色,作中の役割,4591
P517,相互作用,相互作用,291
P7937,作品形式,創作物の形式,342698
P1884,髮色,髪の色,11981
P3018,所在保护区,位置する保護区,36798
P1686,得獎作品,対象作品,50
P4241,确切时间,該当時期,0
P3975,总书记,総書記,1431
P1050,医疗状况,医学的状況,241962
P2286,动脉供应,動脈支配,288
P140,信仰,宗教,444622
P59,星座,星座,7371215
P1434,发生在虚构的宇宙中,舞台の架空世界,15814
P3912,报纸版式,新聞の形式,4083
P1923,參與隊伍,参加チーム,148066
P1546,座右铭,標語,509
P149,建築風格,建築様式,124958
P509,死因,死因,115623
P111,以此物理量测量,測られる物理量,3611
P1013,所用標準,使用した基準,69
P8646,资料片,以下の拡張パック,1507
P5998,分流,派川,119
P4968,相關資格,関連する資格,55
P680,分子功能,分子機能,1210165
P35,国家元首,元首,1841
P2715,當選選舉,選出選挙名,183
P516,发动机,動力装置・エンジン,11110
P1142,政治意识形态,政治イデオロギー,23809
P2700,协议,プロトコル,231
P2827,花色,花の色,551
P2962,棋士称号,チェスのタイトル,31178
P2568,取代者,以下の文書によって廃止,33377
P823,演讲者,講演者,5293
P4100,黨團,会派,1970
P7376,被穿著,着用者,182
P495,原產地,本国,1345801
P1056,产品,生産品目,45764
P2348,時間週期,時代,202625
P3602,競選,立候補選挙,158938
P277,编程语言,プログラミング言語,12192
P1308,公职人员,在職者,17533
P750,經銷商,配給元,158589
P453,人物角色,配役,506
P840,敘事發生地,物語の舞台,91176
P5832,政治聯盟,政党連合,155
P88,委托人,依頼者,23429
P3092,电影摄制组成员,スタッフ,4973
P1423,模板主话题,テンプレートの中心記事,21545
P1011,排除,以下を除く,6
P1995,醫學專科,診療科,10263
P415,廣播節目類型,ラジオ・フォーマット,3611
P654,方位,方位,25
P1310,对此声明有异议者,この主張の反対者,5
P1444,行程目的地,目的地,25554
P5353,學區,学区,9780
P4330,包含,内容,8269
P5095,斷層,断層,20
P118,所属联盟,リーグ,192730
P2633,主题的地理学,主題の地理,726
P800,主要作品,主要作品,96985
P1775,追隨對象,以下のフォロワー,22
P1606,为其天然宿主,以下の自然宿主,17
P1264,有效期,あてはまる期間,219
P27,國籍,国籍,4426813
P3274,內容遞送者,コンテンツの提供元,6
P2679,序言作者,まえがきの筆者,1543
P913,符號,表記法,214
P1909,副作用,副作用,39
P2079,制作方法,制作技法,126162
P8852,脸毛,髭,365
P1537,是该对象的影响因素,以下の寄与因子,324
P1072,可讀取文件格式,読み込み可能なファイル形式,8852
P6099,临床试验期段,臨床試験の段階,177424
P6259,曆元,元期,8076517
P469,流经湖泊,関係する湖,3384
P542,宣布开幕者,公式開会者,1047
P2675,回应,返信先,387
P275,许可协议,利用許諾,161241
P1363,得分或進球者,得点者,2441
P768,選區,選挙区,18986
P358,唱片目录,ディスコグラフィ,11952
P84,建造者,設計,75317
P3985,支援的程式語言,サポートするプログラミング言語,228
P2667,对应模板,対応するテンプレート,860
P8810,亲代,親,13
P4733,產生聲音,発生音,56
P2505,承载,通るもの,12478
P1057,染色体,染色体,608710
P2680,后跋作者,あとがきの筆者,99
P5054,內閣,内閣,5
P1080,所属虚构世界,登場する架空世界,31385
P1875,代表者,仲介者,8117
P135,文化运动,ムーブメント,58648
P7500,合併症,合併症,19
P618,能量来源,エネルギー源,6188
P923,医学检查,診察,993
P8107,总线,バス,17
P2632,羁押地点,収監場所,145141
P2935,連接器,コネクタ,788
P1012,包括,以下を含める,59
P1547,依賴軟件,依存しているソフトウェア,18192
P5280,部首,部首,2355
P8032,受害人,被害者,870
P272,製作商,制作会社,119102
P1419,形状,形状,1875
P5824,撤銷,以下によって撤回,1462
P2416,参加的体育比赛项目,競技種目,49498
P3828,穿着,以下を着用,1752
P5389,永久居留权,永住権保有国,1288
P708,教區,教区,141578
P69,就读于,出身校,2269402
P189,发现地点,発見場所,26285
P2825,途经,経由地,861
P4934,计算方法,以下から算出,578
P2937,议会任期,議会開催期,6378
P400,平台,プラットフォーム,98555
P4353,提名者,推薦者,230
P681,细胞组件,細胞の構成要素,899727
P425,专业领域,専門的職業の分野,5765
P6364,官方颜色,オフィシャル・カラー,3090
P1049,受其崇拜,信仰元,2380
P1881,角色列表,登場人物の一覧,878
P2175,用于治疗,対象となる医学的状態,6992
P3512,移动方式,移動手段,103
P418,印章描述,印章の解説,110
P2353,統計單位,統計単位,25
P1571,到达域,終域,76
P972,目录,カタログ,69086
P688,生物编码,遺伝子産物,973826
P1592,檢察官,検察官,426
P5051,行車方向,方面,64
P200,流入源,流入源,14887
P1924,疫苗用於,ワクチンの対象,203
P703,具此物質之物種/此物質可作用之物種,これを持つタクソン,2853804
P4614,集水區,分水嶺,79530
P2308,类,クラス,4
P1706,连同,以下とともに,72
P1318,证明者,証明した人,125
P2578,研究對象,研究分野,1954
P812,高校专业,大学における専攻,2838
P4584,首次亮相于,初登場,6985
P1456,古迹列表,記念碑の一覧,20144
P4446,忠诚计划,報奨プログラム,275
P1532,体育代表国,代表国,201826
P1809,编舞,振付師,4208
P344,摄影指导,撮影監督,91536
P500,飞地从属于,飛地の本体,130
P407,作品或名稱的語言,言語,14800503
P2396,值域,像,47
P1454,法律形式,組織形態,197130
P467,立法者,制定した立法府,46724
P375,发射载具,打ち上げロケット,6763
P2851,接受的付款方式,料金の支払い方法,39226
P7137,致谢,謝辞の相手,858
P264,唱片公司,レコード・レーベル,338731
P5102,陳述環境,情報の状況,29
P8625,文献资料,書誌,70
P2098,副職,代理官,590
P736,封面艺术家,装丁家／ジャケットデザイナー,6718
P2820,势,集合の濃度,52
P9071,角色類型,キャラクターのタイプ,3186
P770,衰亡原因,破壊原因,1380
P1393,代理人,代理人,49
P2821,副产品,副産物,49
P531,派駐代表機構,在外公館,1710
P6338,上色师,カラリスト,1312
P4743,品種,家畜の品種,8622
P1313,政府首脑职位,行政府の長の地位,62785
P1026,學位論文,学位論文,11022
P7261,使用限制状态,使用制限,415440
P5023,此地點的活動方針,利用案内,130
P3161,具有语气,文法的法,109
P8791,電子化,デジタル化した者,2705
P658,曲目,収録曲,33907
P991,当选者,当選者,23167
P8324,財務贊助者,資金提供者,1904
P1780,所属学派,所属学派,19
P1340,眼睛顏色,目の色,10047
P1302,主要目的地,主な経由都市,3923
P6216,著作權狀態,著作権の状況,1817697
P1876,载具,船,846
P2378,發行者,ID発行者,1797
P608,展覽歷史,展示歴,26633
P7374,教育阶段,教育段階,81
P414,证券交易所,証券取引所,13231
P518,適用部分,あてはまる部分,203
P3716,社會階層,社会階級,11947
P7767,食物存放温度,提供温度,29
P412,聲部,声域,34254
P289,艦級,艦級,13365
P707,衛星平台,衛星バス,113
P505,总经理,ゼネラルマネージャー,1482
P1001,管辖区,管轄・適用区域,938663
P6886,书写语言,記述言語,162201
P1002,引擎配置,エンジン形態,1031
P1574,原本包含,以下のものの原本,1740
P1387,政治立場,政治的立場,4250
