id,zh,ja,en,count
P1034,主要食物來源,主な食料源,main food source,326
P457,成立文书,設立文,foundational text,50541
P532,船籍港,船籍港,port of registry,25629
P740,成立地點,結成場所,location of formation,44482
P1817,收件人,宛名,addressee,49021
P122,政体,政治体制,basic form of government,2152
P58,編劇,脚本,screenwriter,186866
P1716,品牌,ブランド,brand,15374
P1165,來源星球,故郷,home world,1648
P4043,模拟,エミュレート対象,emulates,345
P6889,微架構,マイクロアーキテクチャ,microarchitecture,198
P8839,发型,髪型,hairstyle,595
P7167,没有效果,以下は無効,does not have effect,30
P1951,投資者,投資家,investor,6294
P2554,美術指導,プロダクションデザイナー,production designer,13508
P66,籍贯,祖籍,ancestral home,1811
P7163,销售商品,取扱商品,typically sells,299
P3275,分镜师,絵コンテ,storyboard artist,697
P7938,所属选区,関連する選挙区,associated electoral district,62894
P106,职业,職業,occupation,9260065
P636,给药途径,投与経路,route of administration,3001
P85,颂歌,アンセム,anthem,1691
P2841,发病年龄,発症年齢,age of onset,7
P1811,剧集列表,エピソードの一覧,list of episodes,4553
P631,結構工程師,構造設計,structural engineer,1781
P1158,降落地點,着地点,location of landing,502
P103,母语,母語,native language,287778
P37,官方语言,公用語,official language,21472
P6563,關鍵績效指標,KPI,key performance indicator,13
P1435,遗产名称,遺産保護指定,heritage designation,2062512
P689,影响,障害部位,afflicts,4196
P38,货币,通貨,currency,2098
P183,特有分布,生息域,endemic to,32262
P163,旗帜,旗,flag,6539
P6902,年号,元号,era name,345
P2438,敘事者,ナレーター,narrator,2267
P282,書寫系統,文字体系,writing system,611234
P291,出版地,出版地,place of publication,271222
P6275,版權代表人,著作権代表者,copyright representative,81054
P20,死亡地,死亡地,place of death,1212693
P3680,主张此叙述者,この主張の支持者,statement supported by,58
P5202,改編者,翻案,adapted by,3430
P2184,話題历史,主題の歴史,history of topic,2171
P450,航天任务,宇宙飛行士のミッション,astronaut mission,1836
P1455,作品列表,作品集,list of works,1228
P3712,計畫目標,計画や行為の目的,objective of project or action,1632
P2361,线上服务,オンラインサービス,online service,48
P2882,降级,勝利した対戦相手,relegated,2906
P2634,模特,作品モデル,sitter,280
P1990,饲养品种,飼育生物,species kept,7902
P136,類型,ジャンル,genre,1527395
P452,产业,業種,industry,104004
P1462,標準組織,標準化団体,standards body,2799
