_id,alias,label
P1034,"food source, food plant, eats, ration, diet, ecology (Fossilworks field  name)",main food source
P5008,"Wikimedia project focus list, has Wikimedia project, focused on by Wikimedia project, catalog of Wikimedia project, focus list, part of Wikimedia project, included in Wikimedia project, created or edited for Wikimedia project, created or edited as part of Wikimedia project, item created or edited for Wikimedia project, item created or edited as part of Wikimedia project",on focus list of Wikimedia project
P457,"establishing document, enabling law, created in document, constitutive text, created by, founding document, charter, constitution, treaty, organic law, established under",foundational text
P1366,"heir, next job holder, successor, succeeded by, superseded by, continued by, mediatised to",replaced by
P740,"originates from, comes from, place of foundation, founded in, formation location, source location of group/organisation, formed in, from, place of formation, place of incorporation, place of establishment",location of formation
P1817,"addressed to, sent to, to:, To:, recipient",addressee
P122,"type of government, form of government, government",basic form of government
P58,"scriptwriter, screenplay by, teleplay by, writer (of screenplays), film script by, written by, writing credits, scenarist",screenwriter
P1629,"item, represents, subject item, Wikidata property subject item, associated item, property's subject item, property subject item, subject of this property, subject of property, item of this property",Wikidata item of this property
P8329,"PI, head investigator, chief investigator, research leader, research director, principal researcher, principal research fellow, lead researcher, theme lead, study lead, study chair",principal investigator
P9072,"originated from individual of taxon, taxon of origin, derived from organism of taxon",derived from organism type
P137,"service operator, facility operator, operated by, managed by, administrator, item operator, user, webmaster, manager, maintainer",operator
P3085,league this event qualifies for,qualifies for event
P1704,"pollinator of, pollinates",is pollinator of
P8263,"curriculum includes, topic included, subject included, included topic, included subject, syllabus includes",curriculum topics
P3173,"has view of, has views of, offers view of, views of, views to, view of, view to, sights",offers view on
P4099,"metrically compatible with, metrically compatible font",metrically compatible typeface
P1465,category for place of death,category for people who died here
P1165,"homeworld, home planet",home world
P741,tennis hand,playing hand
P1038,"family, family member, kinsman, relation, uncle, aunt, niece, grandfather, grandmother, grandson, granddauther, grandchild, grandchildren, grandparent, father-in-law, mother-in-law, brother-in-law, sister-in-law, son-in-law, daughter-in-law, cousin, co-husband, ancestor, descendant, lineal descendant, collateral descendant, non-binary parent, nephew, co-sibling-in-law, co-sister-in-law, co-brother-in-law, nibling, aunt-in-law, uncle-in-law, co-wife",relative
P123,"book publisher, video game publisher, software publisher, publishing house, published by, board game publisher, comic publisher, comic book publisher, music publisher, printed music publisher, sheet music publisher",publisher
P6889,"CPU microarchitecture, GPU microarchitecture, processor microarchitecture",microarchitecture
P3719,"regulator, regulatory authority",regulated by
P8839,"haircut, hairdo, hair styling, hair cut, hair do, 'do, coiffure",hairstyle
P3823,"language status, EGIDS",Ethnologue language status
P2695,(co)-type locality,type locality (geology)
P4329,"template that populates category, template that adds pages to this category, main Wikimedia template for this category, Wikimedia template or module that populates this category, Wikimedia template that populates this category, Wikimedia module that populates this category, category populated by template, category populated by template or module, category populated by this template, category is populated by template, category is populated by template or module, category is populated by this template, category applied by template",template or module that populates category
P178,"developed by, written by, created by",developer
P8546,recorded at,recording location
P3080,"video game artist, game artwork by, video game artwork by",game artist
P534,"streak, mineral streak",streak color
P5869,"best example, for example, specimen, sample, featured item, example item",model item
P141,conservation status,IUCN conservation status
P26,"wife, married to, marry, marriage partner, married, wedded to, wed, wives, husbands, spouses, husband, marital partner",spouse
P1951,"private investor, investors",investor
P1035,"style suffix, post-nominal, honourific suffix, postnominal",honorific suffix
P2554,"scenic designer, scenic design by",production designer
P7888,"dissolved into, acquired by, bought by, purchased by, merged with, merger",merged into
P2358,praenomen,Roman praenomen
P7719,"implies, has conclusion, generalizes, generalisation of, generalises, is a special case of, so",generalization of
P66,"native place, native village, ancestral village",ancestral home
P8006,"dominant foot, stance, skating stance, board stance, skateboarding stance, snowboarding stance",footedness
P2853,"plug type, socket type, electrical socket type, electrical connector type, mains plug type, mains socket type, mains connector",electrical plug type
P7163,"sells, product, sold products",typically sells
P3275,"story artist, visualizer",storyboard artist
P7938,"located in the constituency, associated constituency, located in electoral district, electoral district associated with place, constituency associated with place",associated electoral district
P4777,"boundary, has 2D boundary, border, delimited by, frontier, has border",has boundary
P1322,dual of,dual to
P106,"profession, job, work, career, employment, craft, employ",occupation
P36,"capital city, capital town, chef-lieu, principal place, county seat, administrative centre, administrative headquarters, has capital, court residence, seat, administrative seat, seat of government, administrative capital, government capital, county town, government seat, administrative center, location of capital",capital
P85,"national anthem, march, official song, official hymn, team anthem, club anthem",anthem
P769,"drug interaction, pharmacological interaction",significant drug interaction
P1811,"episode list, episodes list",list of episodes
P10067,melody,train melody
P631,"engineer, building engineer",structural engineer
P5588,"alien to, introduced to",invasive to
P1158,"landing site, landing location",location of landing
P4608,"stage designer, set designer, scenic designer",scenographer
P103,"first language, mother tongue, language native, L1 speaker of",native language
P5995,sports wear supplier,kit supplier
P37,"language official, spoken in, speaking, language spoken",official language
