_id,label,alias
P1034,main food source,eats
P457,foundational text,establishing document
P1366,replaced by,succeeded by
P740,location of formation,founded in
P1817,addressee,sent to
P58,screenwriter,screenplay by
P8329,principal investigator,chief investigator
P9072,derived from organism type,axon of origin
P137,operator,operated by
P3085,qualifies for event,league this event qualifies for
P1704,is pollinator of,pollinates
P8263,curriculum topics,syllabus includes
P3173,offers view on,has view of
P1465,category for people who died here,category for place of death
P1165,home world,home planet
P741,playing hand,tennis hand
P3719,regulated by,regulator
P8839,hairstyle,haircut
P178,developer,developed by
P8546,recording location,recorded at
P5869,model item,best example
P26,spouse,married to
P7888,merged into,acquired by
P7719,generalization of,generalizes
P66,ancestral home,native place
P4777,has boundary,border
P1322,dual to,dual of
P106,occupation,profession
P769,significant drug interaction,pharmacological interaction
P631,structural engineer,building engineer
P5588,invasive to,alien to
P4608,scenographer,set designer
P103,native language,mother tongue
P37,official language,spoken in
P689,afflicts,affects
P38,currency,used money
P183,endemic to,native to
P4805,make-up artist,visagist
P1382,partially coincident with,partially overlaps
P4988,test method,methodology
P2438,narrator,narrated by
P282,writing system,alphabet
P291,place of publication,released in
P20,place of death,died in
P463,member of,membership
P3680,statement supported by,according to
P1455,list of works,bibliography
P1625,has melody,uses tune
P5940,plot expanded in,story continued in
P452,industry,sector
P4770,hydrated form of,is a hydrate of
P119,place of burial,grave at
P186,made from material,constructed out of
P6001,applies to people,valid to people
P2872,visitor centre,tourist office
P7937,form of creative work,artistic form
P6872,has written for,writer for
P1884,hair color,color of hair
P1050,medical condition,suffers from
P140,religion or world view,has religion
P155,follows,succeeds
P59,constellation,part of constellation
P1434,takes place in fictional universe,set in fictional universe
P930,type of electrification,electrification type
P1546,motto,slogan
P828,has cause,result of
P509,cause of death,died of
P1639,pendant of,pendant to
P1431,executive producer,showrunner
P111,measured physical quantity,measure of
P1013,criterion used,on the basis of
P7469,orientation,direction
P179,part of the series,issue of
P35,head of state,state headed by
P2715,elected in,election
P6530,has role in modeling,used to investigate
P516,powered by,power source
P1142,political ideology,political view
P2827,flower color,color of the flower
P2650,interested in,field of study
P2159,computes solution to,is an algorithm for
P2568,repealed by,revoked by
P4100,parliamentary group,party
P495,country of origin,comes from
P1056,product or material produced,producer of
P3602,candidacy in election,running in election
P6819,calligrapher,scribe
P1308,officeholder,incumbent
P750,distributed by,distributor
P453,character role,acting role
P840,narrative location,takes place in
P5832,political coalition,political alliance
P287,designed by,has designer
P88,commissioned by,built for
P1011,excluding,except
P3833,diaspora,part of diaspora
P2567,amended by, altered by
P1310,statement disputed by,opposed by
P1444,destination point,ending at
P4330,contains,has contents
P664,organizer,organized by
P177,crosses,over
P118,league,division
P800,notable work,known for
P2546,sidekick of,helper of
P27,country of citizenship,citizen of
P2679,author of foreword,foreword by
P913,notation,symbol
P2283,uses,made use of
P2652,partnership with,collaboration with
P1534,end cause,ended by
P2079,fabrication method,manufacturing method
P166,award received,winner of
P1605,has natural reservoir,natural reservoir
P1537,contributing factor of,indirectly caused
P9234,supplement to,extends
P469,lakes on river,reservoir on this river
P8739,prohibits,does not permit
P2318,debut participant,first appearance for
P2675,reply to,responds to
P275,copyright license,content license
P1363,points/goal scored by,scorer
P768,electoral district,constituency
P2860,cites work,bibliographic citation
P358,discography,recording catalog
P84,architect,architecture firm
P4733,produced sound,makes sound
P2680,author of afterword,afterword by
P4428,implementation of,implements
P1080,from narrative universe,from mythology
P461,opposite of,inverse of
P135,movement,trend
P9793,setlist,music performed
P2632,place of detention,prison
P2935,connector,ports
P1012,including,with
P825,dedicated to,tribute to
P1547,depends on software,has software dependency
P159,headquarters location,HQ location
P8032,victim,casualty
P272,production company,film studio
P1419,shape,form factor
P5389,permanent resident of,landed immigrant of
P4006,overrules,overruled
P488,chairperson,leader
P69,educated at,studied at
P189,location of discovery,found in
P3094,develops from,evolves from
P4934,calculated from,computed from
P2937,parliamentary term,legislative term
P180,depicts,portrays
P9047,archaeological site of,type of archaeological site
P197,adjacent station,neighbouring station
P6364,official color,signature color
P8786,dedicated heritage entity,has museum
P802,student,teacher of
P1049,worshipped by,deity of
P2175,medical condition treated,disease treated
P9161,thesis committee member,dissertation committee member
P1336,territory claimed by,sovereignty claimed by
P1066,student of,teacher
P156,followed by,succeded by
P8701,has census,has human population census
P1731,Fach,vocal specialization
P1343,described by source,written about in
P1571,codomain,range
P47,shares border with,bordered by
P39,position held,office held
P688,encodes,codes for
P5051,towards,in the direction of
P276,location,is in
P1924,vaccine for,target disease
P5816,state of conservation,conservation status
P1706,together with,accompanied by
P2578,studies,researches
P138,named after,eponym
P812,academic major,field of study
P8058,symbol of,emblem of
P4584,first appearance,debut
P4446,reward program,frequent flyer program
P551,residence,lives in
P641,sport,plays
P5460,grants,awards
P1777,manner of,style of
P344,director of photography,cinematographer
P1889,different from,is not
P2396,image of function,function image
P1454,legal form,structured as
P467,legislated by,passed by
P3349,designed to carry,carries
P736,cover art by,cover artist
P1398,structure replaces,replacement building
P770,cause of destruction,destroyed by
P2821,by-product, secondary product
P25,mother,mum
P157,killed by,murdered by
P8791,digitised by,scanned by
P466,occupant,inhabitant
P658,tracklist,songs
P991,successful candidate,election won by
P8324,funder,donor
P3342,significant person,notable person
P1876,vehicle,vessel
P7153,significant place,significant location
P2378,issued by,assigned by
P1071,location of creation,assembly location
P4424,mandates,requires
P3716,social classification,social status
P112,founded by,established by
P170,creator, created by
P108,employer,works for
P1365,replaces,succeeds
P22,father,dad
P1387,political alignment,political position
P355,subsidiary,parent company of
P6,head of government,president
P2541,operating area,area of operations
P1344,participant in,took part in
P54,member of sports team,plays for
