_id,en,en_alias,de,de_alias,es,fr,fr_alias,es_alias,count
P1034,main food source,eats,Hauptnahrungsquelle,Nahrungsquelle,fuente de alimento principal,source principale de nourriture,nourriture,principal fuente de alimento,326
P457,foundational text,establishing document,Gründungsvertrag,Gründungsdokument,texto fundacional,texte fondateur,établi selon,documento fundador,50541
P1366,replaced by,succeeded by,ersetzt durch,aufgegangen in,reemplazado por,remplacé par,successeur,sucesor,86569
P740,location of formation,founded in,Gründungsort,Entstehungsort,lugar de formación,lieu de fondation,lieu de création,fundado en,44482
P1817,addressee,sent to,Adressat,Empfänger,destinatario,destinataire,correspondant,destinada para,49021
P58,screenwriter,screenplay by,Drehbuchautor,Drehbuchautorin,guionista,scénariste,scénario de,guion por,186866
P9072,derived from organism type,axon of origin,abgeleitet vom Organismentyp,Axon des Ursprungs,derivado del organismo,dérivé de l'organisme,dérivé du type d'organisme,derivado del tipo de organismo,136745
P137,operator,operated by,Betreiber,Träger,operador,opérateur,exploitant,operado por,538793
P1704,is pollinator of,pollinates,Bestäuber von,bestäubt,polinizador,pollinisateur de,pollinise,es polinizador de,58
P3173,offers view on,has view of,bietet Sicht auf,Sicht auf,ofrece vista a,offre une vue sur,offre un panorama sur,tiene vista a,905
P1165,home world,home planet,Heimatwelt,Heimatplanet,mundo de origen,monde d'origine,planète natale,mundo natal,1648
P741,playing hand,tennis hand,Spielhand,tennis hand,mano utilizada,prise de raquette,jouer à la main,mano de juego,6284
P3719,regulated by,regulator,reguliert von,Regler,regulado por,régi par,régie par,regulada por,475
P8839,hairstyle,haircut,Frisur,Haarschnitt,peinado,coiffure,Coupe de cheveux,corte de cabello,595
P178,developer,developed by,Entwickler,Entwicklerin,desarrollador,développeur,conçu par,desarrollado por,45750
P8546,recording location,recorded at,Ort der Aufnahme,Aufnahmeort,ubicación de la grabación,lieu d'enregistrement,enregistré à,ubicación de grabación,314
P26,spouse,married to,Ehepartner(in),Ehefrau,cónyuge,conjoint,épouse,esposo,731197
P7888,merged into,acquired by,fusioniert in,fusionierte in,fusionado con,fusionné dans,acquis par,combinados,2113
P7719,generalization of,generalizes,impliziert,verallgemeinert,implica,généralisation de,implique,generalización de,37
P66,ancestral home,native place,Herkunftsort,angestammtes Dorf,hogar ancestral,foyer ancestral,laojia,lugar nativo,1811
P4777,has boundary,border,hat als Grenze,Begrenzung des Subjekts,delimitado por,délimité par,a pour limite,tiene por límite,1156
P1322,dual to,dual of,dual zu,Dual von,dual de,dual de,duel à,doble a,351
P106,occupation,profession,Tätigkeit,Beschäftigung,ocupación,occupation,métier,profesión,9260065
P631,structural engineer,building engineer,Statiker,Tragwerksplaner,ingeniero estructural,ingénieur de structure,ingénieur structurel,ingeniero de construccion,1781
P5588,invasive to,alien to,invasiv in,fremd zu,especie invasora en,envahit,déclaré envahissant à,invasora en,107
P37,official language,spoken in,Amtssprache,Landessprache,idioma oficial,langue officielle,langue nationale,hablado en,21472
P689,afflicts,affects,befällt,beeinflusst,afecta,affecte,afflige,aflige,4196
P38,currency,used money,Währung,Zahlungsmittel,moneda,monnaie,devise,moneda de curso legal,2098
P183,endemic to,native to,endemisch in,heimisch,endémico en,endémique de,endémique à,endémica en,32262
P1382,partially coincident with,partially overlaps,teilweise übereinstimmend mit,übereinstimmend mit,parcialmente coincidente con,coïncide partiellement avec,chevauche partiellement,parcialmente en,17887
P4988,test method,methodology,Testmethode,Methodik,método de ensayo,méthode de test,méthode d'essai,método de prueba,27
P2438,narrator,narrated by,Erzähler,erzählt von,narrador,narrateur,Raconté par,narrado por,2267
P282,writing system,alphabet,Schrift,Alphabet,alfabeto,système d'écriture,alphabet,sistema de escritura,611234
P291,place of publication,released in,Erscheinungsort,Publikationsort,lugar de publicación,lieu de publication,lieu de parution,lugar de edición,271222
