id,en,ru,en_alias,ru_alias,count
P457,foundational text,основополагающий текст,establishing document,де-юре на основе документа,50541
P7167,does not have effect,не вызывает,does not cause,не имеет эффекта,30
P5588,invasive to,инвазионный вид для,alien to,инвазивный для,107
P3680,statement supported by,утверждение поддерживает,according to,поддерживается в,58
P2568,repealed by,скорректирован,revoked by,отменен,33377
P8739,prohibits,запрещает,does not permit,не разрешает,16
P1012,including,включая,with,в том числе,59
P1706,together with,совместно с,shared with,награжден совместно с,72
P8058,symbol of,является символом,logo of,символ,49
P5460,grants,присуждает учёную степень,confers,даёт диплом,696
P2378,issued by,кем выдан,assigned by,выдана,1797
P1777,manner of,в манере,style of,в духе,9
P1399,convicted of,осуждён за,guilty of,осужден за,10528
P5009,complies with,соответствует норме,conforms to,соответствует стандарту,163
P4969,derivative work,производная работа,is the basis for,производное произведение,19804
P1028,donated by,подарок от,given by,подарено,9673
P3452,inferred from,вывод из,implied by,выведено из,2
P3148,repeals,отменяет,cancels,аннулирует,28838
P9883,created for,создано для,made for,создан для,35
P3938,named by,кем названо,coined by,названо,628
P2682,is verso of,оборотная сторона для,Backside,это обратная сторона,165
P1299,depicted by,изображается на,portrayed by,изображён на,10979
P1652,referee,рефери,umpire,судья,19997
P9353,does not have cause,не имеет причиной,has no reason,причиной не является,11
P8738,permits,разрешает,does not prohibit,позволяет,23
P4032,reviewed by,рецензент,examined by,рассмотрено,510
P790,approved by,получил одобрение от,erected by,одобрено,29098
P47,shares border with,имеет границы с,bordered by,граничит с,605173
P460,said to be the same as,предположительно одно и то же с,same as,возможно одно и то же с,285208
P7047,enemy of,враг,opponent of,соперник,3809
P197,adjacent station,соседний остановочный пункт,next station,предыдущая станция,209079
P3032,adjacent building,смежное здание,located next to,соседнее здание,5242
P737,influenced by,испытал влияние от,informed by,вдохновлён,18552
P2652,partnership with,в партнёрстве с,collaboration with,в партнерстве с,3328
P3113,does not have part,не включает,missing,не имеет частью,499
P514,interleaves with,перемежается с,interbedded with,чередуется с,31
P1557,manifestation of,является воплощением,realization of,основное свойство:,2120
P6477,does not have quality,не обладает свойством,does not have property,не имеет качества,344
P547,commemorates,в память о,memorial to,чтит,26003
P5004,in opposition to,против,opposes,в оппозиции к,461
P7719,generalization of,влечёт за собой,implies,следует,37
P31,instance of,это частный случай понятия,is a,представляет собой,103114325
P1441,present in work,представлено в работе,from work,из художественного произведения,126749
