id,ru,ja,ru_alias,ja_alias,en,count
P457,основополагающий текст,設立文,де-юре на основе документа,創設テキスト,foundational text,50541
P1817,получатель,宛名,адресат,宛名書き,addressee,49021
P4043,эмулирует,エミュレート対象,Эмулированная цель,エミュレートする,emulates,345
P3719,регулируется,規制当局,Регулятивный орган,規制,regulated by,475
P7167,не вызывает,以下は無効,Следующее недействительно,引き起こさない,does not have effect,30
P106,род занятий,職業,профессия,職種,occupation,9260065
P689,поражает,障害部位,Место препятствия,ストライキ,afflicts,4196
P568,лежачий бок,下位層,Нижний слой,横になっている側,overlies,1555
P2453,номинант,候補者,кандидат,ノミニー,nominee,164
P2438,рассказчик,ナレーター,повествователь,語り手,narrator,2267
P5202,адаптирован,翻案,приспособление,編曲,adapted by,3430
P1686,за работу,対象作品,присуждена за работу,受賞した作品,for work,50
P2715,выбран по результатам,選出選挙名,выбран на,選挙名,elected in,183
P2568,скорректирован,以下の文書によって廃止,Упразднено следующими документами,調整済み,repealed by,33377
P750,распространяется,配給元,компания-дистрибьютор,配給会社,distributed by,158589
P5134,оценка для,以下の評価,Следующая оценка,の見積もり,evaluation of,26
P1011,исключая,以下を除く,кроме,以外,excluding,6
P4330,содержит,内容,Содержание,含む,contains,8269
P1775,является последователем,以下のフォロワー,последователь,フォロワーです,follower of,22
P8739,запрещает,以下を禁止する,не разрешает,禁止,prohibits,16
P2675,в ответ на,返信先,ответ на,返信対象,reply to,387
P1875,кто представляет,仲介者,кем представлен,エージェント,represented by,8117
P1012,включая,以下を含める,Включать:,含む,including,59
P4006,отвергает,以下の判例を変更,отменяет,拒否します,overrules,10
P69,учебное заведение,出身校,альма-матер,出身大学,educated at,2269402
P3094,развивается из,以下から発生,развилась из,発生原基,develops from,110
P2825,через,経由地,с остановкой в,終えた,via,861
P425,сфера деятельности,専門的職業の分野,область деятельности,活動の場所,field of this occupation,5765
P1049,божество относится к,信仰元,Источник веры,宗教,worshipped by,2380
P5051,по направлению к,方面,направление,終着駅,towards,64
P200,впадающие в озеро реки,流入源,Источник притока,流入元,inflows,14887
P1706,совместно с,以下とともに,награжден совместно с,一緒に,together with,72
P1318,кем доказано,証明した人,кем доказана,誰が証明した,proved by,125
P2578,предмет изучения,研究分野,изучает,研究対象,studies,1954
P8058,является символом,以下の象徴,Следующие символы,以下のシンボル,symbol of,49
P467,принят законодателем,制定した立法府,законодатель,制定した国会の会期,legislated by,46724
P7137,благодарности,謝辞の相手,Партнер по признанию,謝辞,acknowledged,858
P647,задрафтован,ドラフト指名したチーム,"Команда, назначенная на драфте",ドラフト,drafted by,11790
P8324,заказчик,資金提供者,спонсор,開基,funder,1904
P2378,кем выдан,ID発行者,выдана,が発行,issued by,1797
P1399,осуждён за,罪名,осужден за,有罪判決を受けた,convicted of,10528
P126,ответственность несёт,管理者,обслуживается,管理機関,maintained by,528563
P5009,соответствует норме,適合基準,соответствует стандарту,規範に対応,complies with,163
P1840,расследуется,調査者,Следователь,調査隊,investigated by,576
P5422,имеет орнамент,装飾パターン,орнамент,飾りがあります,has pattern,407
P1027,награда от,授与者,наградила,授章者,conferred by,15110
P941,вдохновлено,着想を得たもの,Вдохновленный,インスパイアされたもの,inspired by,5758
