id,ru,zh,en,ru_alias,zh_alias,count
P457,основополагающий текст,成立文书,foundational text,де-юре на основе документа,創始文本,50541
P4043,эмулирует,模拟,emulates,моделирование,模仿,345
P7167,не вызывает,没有效果,does not have effect,нет эффекта,不會導致,30
P106,род занятий,职业,occupation,профессия,職業,9260065
P689,поражает,影响,afflicts,Оказывать влияние,所受折磨,4196
P1686,за работу,得獎作品,for work,присуждена за работу,获奖作品,50
P2568,скорректирован,取代者,repealed by,Заменитель,調整,33377
P750,распространяется,經銷商,distributed by,компания-дистрибьютор,分銷商,158589
P88,заказчик произведения,委托人,commissioned by,заказчик,工作的客戶,23429
P1011,исключая,排除,excluding,кроме,不含,6
P1775,является последователем,追隨對象,follower of,последователь,追随对象,22
P2675,в ответ на,回应,reply to,ответ на,回复,387
P2505,несёт на себе,承载,carries,нести,進行,12478
P1875,кто представляет,代表者,represented by,кем представлен,誰代表,8117
P1012,включая,包括,including,включать,包含,59
P5824,отозвано в,撤銷,is retracted by,отозвана в,撤回,1462
P3828,надето,穿着,wears,одето,穿,1752
P69,учебное заведение,就读于,educated at,альма-матер,毕业于,2269402
P2825,через,途经,via,с остановкой в,经过,861
P4353,кто номинировал,提名者,nominated by,кем номинирован,提名人,230
P1049,божество относится к,受其崇拜,worshipped by,поклонялись,神是指,2380
P688,кодирует,生物编码,encodes,биологический код,編碼,973826
P5051,по направлению к,行車方向,towards,направление,開往,64
P1706,совместно с,连同,together with,награжден совместно с,和...一起,72
P1318,кем доказано,证明者,proved by,кем доказана,誰證明了,125
P2578,предмет изучения,研究對象,studies,изучает,研究对象,1954
P2378,кем выдан,發行者,issued by,выдана,发行者,1797
P518,указано для части,適用部分,applies to part,относится к части,适用部分,203
P1574,является экземпляром,原本包含,exemplar of,экземпляр,是一個實例,1740
P1399,осуждён за,所犯罪名,convicted of,осужден за,罪名,10528
P126,ответственность несёт,维护者,maintained by,обслуживается,負責任的,528563
P5009,соответствует норме,符合標準,complies with,соответствует стандарту,符合規範,163
P1027,награда от,颁发者,conferred by,наградила,獎項來自,15110
P941,вдохновлено,启发自,inspired by,Вдохновлен,啟發,5758
P1877,в результате влияния работы,原著作者,after a work by,под влиянием работы,由於工作的影響,12339
P1028,подарок от,捐贈者,donated by,подарено,捐赠者,9673
P3452,вывод из,推断依据,inferred from,выведено из,推论自,2
P485,архивы хранятся в,存檔于,archives at,Архивировано в,檔案存儲在,75475
P3301,транслируется на,广播业者,broadcast by,телеведущий,播出時間,7431
P1136,кем решена,解決者,solved by,кем решено,誰決定,116
P3148,отменяет,廢除,repeals,аннулирует,廢止,28838
P4878,символизирует,象征,symbolizes,условное обозначение,象徵著,51
P5133,имеет оценку,医学发现,has evaluation,медицинское открытие,有一個估計,24
P3938,кем названо,命名者,named by,названо,由誰命名,628
P1591,обвиняемый,被告人,defendant,ответчик,被告,4610
P642,относится к,範圍,of,родительный падеж,範圍,5091
P2414,сырьё для,为酶的底物,substrate of,субстрат,原料為,9
P459,метод определения,确定方法,determination method,способ  определения,斷定方法,329
P1299,изображается на,描绘于,depicted by,изображён на,描述作品,10979
P3989,род деятельности членов,成员职业,members have occupation,род занятий членов,會員活動類型,1768
P9353,не имеет причиной,不是原因,does not have cause,причиной не является,不是起因,11
P5323,подтверждено в,文獻出處,attested in,Источник литературы,经证实,121128
P3095,практикуется,从业者,practiced by,работник этой отрасли называется,專業人士,4814
P1479,способствовавшим фактором является,影响因素,has contributing factor,способствующим фактором является,促成因素是,588
P748,кем назначен,委任者,appointed by,назначен,任命人,5538
P6193,ратифицирован(о/а),批准方,ratified by,ратификация,批准,2631
P248,утверждается в,载于,stated in,сообщается в,声明于,785
P210,секретарь партии,党委书记,party chief representative,партийный секретарь,黨委書記,266
P1433,опубликовано в,发表于,published in,Опубликован в,收录于,37916091
P610,наивысшая точка,最高点,highest point,высшая точка,至高點,5503
P790,получил одобрение от,獲准自,approved by,одобрено,獲得批准,29098
P530,дипломатические отношения,邦交國,diplomatic relation,союзные страны,外交關係,7046
P47,имеет границы с,接壤,shares border with,граничит с,邊界,605173
P461,противоположно,相反面,opposite of,противоположность,反义词,23857
P7047,враг,敌人,enemy of,соперник,敵人,3809
P1889,не путать с,相异於,different from,отличный от,不是,801466
P1382,частично совпадает с,部分重合物,partially coincident with,частично в,部分符合,17887
P1038,родственник,亲属,relative,родственники,亲戚,52123
P197,соседний остановочный пункт,相邻车站,adjacent station,предыдущая станция,下一站,209079
P833,станция пересадки,换乘车站,interchange station,пересадка,跨站换乘,3685
P2789,соединяется с,连接,connects with,соединён с,與,183333
P399,компаньон,伴天体,companion of,сопутствующий объект,伴侶,4476
P3032,смежное здание,相邻建筑,adjacent building,соседнее здание,邻接建筑,5242
P144,создано на основе,改編自,based on,производное от,改编自,52294
P737,испытал влияние от,影响自,influenced by,вдохновлён,受到影響,18552
P1416,принадлежит к,所属机构,affiliation,относится к организации,所屬機構,86685
P3113,не включает,不包含的部分,does not have part,не имеет частью,不包括,499
P807,отделилось от,分离自,separated from,отпочковалось от,分離自,2321
P1557,является воплощением,表现概念,manifestation of,основное свойство:,是體現,2120
P4675,появляется в виде,形态,appears in the form of,в виде,出現在表格中,373
P6477,не обладает свойством,不具备的特性,does not have quality,Функции недоступны,沒有財產,344
P547,в память о,紀念對象,commemorates,чтит,纪念对象,26003
P1268,представляет,代表对象,represents,изображает,是,5411
P825,посвящено,呈献对象,dedicated to,Объект презентации,投入的,50406
P31,это частный случай понятия,隶属于,instance of,представляет собой,是一個,103114325
P1441,представлено в работе,登场作品,present in work,из художественного произведения,出场作品,126749
