id,en,es,fr,de
P1034,main food source,fuente de alimento principal,source principale de nourriture,Hauptnahrungsquelle
P5008,on focus list of Wikimedia project,lista de interés para el proyecto Wikimedia,projet Wikimédia s’intéressant à l'élément,auf der Arbeitsliste des Wikimedia-Projektes
P457,foundational text,texto fundacional,texte fondateur,Gründungsvertrag
P532,port of registry,puerto de registro,quartier d'immatriculation,Registerhafen
P740,location of formation,lugar de formación,lieu de fondation,Gründungsort
P1817,addressee,destinatario,destinataire,Adressat
P1425,ecoregion (WWF),ecorregión WWF,écorégion (WWF),Ökoregion (WWF)
P122,basic form of government,forma de gobierno,régime politique,Regierungsform
P58,screenwriter,guionista,scénariste,Drehbuchautor
P5249,sports competition competed at,competición deportiva participada,compétition sportive,Teilnahme an Sportveranstaltung
P1629,Wikidata item of this property,elemento asociado,élément Wikidata associé à la propriété,entsprechendes Objekt der Eigenschaft
P2876,type of unit for this property,tipo de unidad para esta propiedad,type d'unité pour cette propriété,Einheitenart für diese Eigenschaft
P2597,Gram staining,tinción de Gram,coloration de Gram,Gram-Färbung
P9072,derived from organism type,derivado del organismo,dérivé de l'organisme,abgeleitet vom Organismentyp
P3085,qualifies for event,califica para el evento,qualifie pour,qualifiziert für Turnier
P1704,is pollinator of,polinizador,pollinisateur de,Bestäuber von
P1716,brand,marca,marque,Marke
P3173,offers view on,ofrece vista a,offre une vue sur,bietet Sicht auf
P4099,metrically compatible typeface,tipofaz métricamente compatible,police métriquement compatible,metrisch kompatible Schriftart
P1465,category for people who died here,categoría para las personas que fallecieron aquí,catégorie pour les personnes mortes à cet endroit,Kategorie für hier gestorbene Personen
P1165,home world,mundo de origen,monde d'origine,Heimatwelt
P741,playing hand,mano utilizada,prise de raquette,Spielhand
P4043,emulates,emula,émule,emuliert
P5110,has grammatical person,tiene la persona gramatical,a comme personne grammaticale,hat grammatische Person
P6889,microarchitecture,microarquitectura,microarchitecture,Mikroarchitektur
P3719,regulated by,regulado por,régi par,reguliert von
P8839,hairstyle,peinado,coiffure,Frisur
P4646,representation of,representación de,représentation de,Vorstellung von
P3823,Ethnologue language status,estado del idioma en Ethnologue,statut de langue Ethnologue,Ethnologue Sprachstatus
P3772,agonist of,agonista de,agoniste de,Agonist von
P8652,Netflix maturity rating,clasificación de madurez de Netflix,classification Netflix,Netflix-Altersfreigabe
P4329,template or module that populates category,plantilla de Wikimedia,modèle Wikimedia principal pour cet élément,Wikimedia-Hauptvorlage für diese Kategorie
P8546,recording location,ubicación de la grabación,lieu d'enregistrement,Ort der Aufnahme
P3080,game artist,artista de juegos,artiste multimédia,Spielekünstler
P534,streak color,color de la raya,couleur du trait,Strichfarbe
P4323,young rider classification,clasificación de los jóvenes,classement du meilleur jeune,Nachwuchswertung
P141,IUCN conservation status,estado de conservación UICN,statut de conservation UICN,Gefährdungsstufe (IUCN)
P7167,does not have effect,no tiene como efecto,n'a pas d'effet,verursacht nicht
