id1,en1,es1,fr1,de1,id2,en2,es2,fr2,de2,count1,count2
P1535,used by,utilizado por,utilisé par,verwendet von,P2283,uses,utiliza,utilise,benutzt,9765,27605
P1411,nominated for,nominado a,nommé pour,nominiert für,P2453,nominee,nominado,nommé,Nominierter,68638,164
P3148,repeals,revoca,abroge,hebt auf,P2568,repealed by,abrogado por,abrogé par,aufgehoben durch,28838,33377
P2579,studied by,estudiado por,discipline dont c'est l'objet,Forschungsthema in,P2578,studies,estudia,objet de la discipline,studiert,5967,1954
P2682,is verso of,es verso de,est le verso,ist Rückseite von,P2681,is recto of,es recto de,est le recto,ist Vorderseite von,165,164
P770,cause of destruction,causa de destrucción,cause de la destruction,Grund der Zerstörung,P3082,destroyed,ha destruido,détruit,zerstört,1380,283
P425,field of this occupation,ámbito de la ocupación,domaine d'occupation,Betätigungsfeld des Berufes,P3095,practiced by,practicado por,pratiqué par,praktiziert von,5765,4814
P3730,next higher rank,rango inmediatamente superior,rang immédiatement supérieur,nächsthöherer Rang,P3729,next lower rank,rango inmediatamente inferior,rang immédiatement inférieur,nächstniedrigerer Rang,4403,4149
P144,based on,basado en,basé sur,basiert auf,P4969,derivative work,obra derivada,œuvre dérivée,Bearbeitung,52294,19804
P5135,greater than,mayor que,supérieur à,größer als,P5136,less than,menor que,inférieur à,weniger als,77,64
P1027,conferred by,conferido por,décerné par,verliehen von,P5460,grants,confiere,diplôme ou distinction délivré,verleiht akademischen Grad,15110,696
P8032,victim,víctima,victime,Opfer,P8031,perpetrator,perpetrador,perpétrateur,Täter,870,818
P1308,officeholder,titular del cargo,titulaire,Amtsinhaber,P39,position held,cargo ocupado,fonction,öffentliches Amt oder Stellung,17533,1456025
P22,father,padre,père,Vater,P40,child,hijo o hija,enfant,Kind(er),952062,1551742
P25,mother,madre,mère,Mutter,P40,child,hijo o hija,enfant,Kind(er),601247,1551742
P8810,parent,padres,parent,Elternteil,P40,child,hijo o hija,enfant,Kind(er),13,1551742
P1830,owner of,propietario de,propriétaire de,Inhaber von,P127,owned by,propietario,propriétaire,Eigentümer,45238,466709
P156,followed by,sucedido por,suivi par,Nachfolger,P155,follows,precedido por,précédé par,Vorgänger,1118555,1136252
P453,character role,rol,rôle,Rolle,P175,performer,intérprete,interprète,Interpret,506,499822
P1299,depicted by,representado por,est dépeint par,dargestellt von,P180,depicts,representa a,dépeint,Motiv,10979,614541
P184,doctoral advisor,supervisor doctoral,directeur de thèse,Promotionsbetreuer,P185,doctoral student,doctorando,doctorant,Doktorand,302831,297261
P749,parent organization,organización matriz,organisation mère,übergeordnete Organisation,P355,subsidiary,filial,organisation fille,nachgeordnete Organisation,122549,93001
P568,overlies,suprayacente a,mur,Liegend,P567,underlies,infrayacente a,toit,Hangend,1555,1542
P1441,present in work,presente en la obra,présent dans l'œuvre,kommt vor in,P674,characters,personajes,personnages,Figuren,126749,120548
P688,encodes,codifica,synthètise,codiert,P702,encoded by,codificado por,codé par,codiert von,973826,976836
P3602,candidacy in election,candidato en la elección,candidat à l'élection,kandidiert(e) für,P726,candidate,candidato,candidat,Kandidat,158938,90180
P3919,contributed to creative work,contribuyó en la obra publicada,a contribué à une œuvre publiée,Mitarbeit an Publikationen,P767,contributor to the creative work or subject,colaborador,collaborateur,Mitarbeiter des Werks,5086,41528
P1542,has effect,causa de,a pour effet,Ursache von,P828,has cause,causado por,a pour cause,Ursache,5715,9257
