,id,en,de,es,fr,count,en_negated,de_negated,fr_negated,es_negated
0,P3719,regulated by,reguliert von,regulado por,régi par,469,not regulated by,nicht reguliert von,ne pas régi par,no regulado por
1,P1704,is pollinator of,Bestäuber von,polinizador,pollinisateur de,58,not is pollinator of,nicht Bestäuber von,ne pas pollinisateur de,no polinizador
2,P3173,offers view on,bietet Sicht auf,ofrece vista a,offre une vue sur,875,not offers view on,nicht bietet Sicht auf,ne pas offre une vue sur,no ofrece vista a
3,P3085,qualifies for event,qualifiziert für Turnier,califica para el evento,qualifie pour,2788,not qualifies for event,nicht qualifiziert für Turnier,ne pas qualifie pour,no califica para el evento
4,P4646,representation of,Vorstellung von,representación de,représentation de,165,not representation of,nicht Vorstellung von,ne pas représentation de,no representación de
5,P4043,emulates,emuliert,emula,émule,345,not emulates,nicht emuliert,ne pas émule,no emula
6,P1034,main food source,Hauptnahrungsquelle,fuente de alimento principal,source principale de nourriture,326,not main food source,nicht Hauptnahrungsquelle,ne pas source principale de nourriture,no fuente de alimento principal
7,P457,foundational text,Gründungsvertrag,texto fundacional,texte fondateur,50534,not foundational text,nicht Gründungsvertrag,ne pas texte fondateur,no texto fundacional
8,P532,port of registry,Registerhafen,puerto de registro,quartier d'immatriculation,25610,not port of registry,nicht Registerhafen,ne pas quartier d'immatriculation,no puerto de registro
9,P740,location of formation,Gründungsort,lugar de formación,lieu de fondation,44406,not location of formation,nicht Gründungsort,ne pas lieu de fondation,no lugar de formación
10,P1817,addressee,Adressat,destinatario,destinataire,49000,not addressee,nicht Adressat,ne pas destinataire,no destinatario
11,P122,basic form of government,Regierungsform,forma de gobierno,régime politique,2144,not basic form of government,nicht Regierungsform,ne pas régime politique,no forma de gobierno
12,P58,screenwriter,Drehbuchautor,guionista,scénariste,185278,not screenwriter,nicht Drehbuchautor,ne pas scénariste,no guionista
13,P5249,sports competition competed at,Teilnahme an Sportveranstaltung,competición deportiva participada,compétition sportive,718,not sports competition competed at,nicht Teilnahme an Sportveranstaltung,ne pas compétition sportive,no competición deportiva participada
14,P9072,derived from organism type,abgeleitet vom Organismentyp,derivado del organismo,dérivé de l'organisme,135867,not derived from organism type,nicht abgeleitet vom Organismentyp,ne pas dérivé de l'organisme,no derivado del organismo
15,P1716,brand,Marke,marca,marque,15367,not brand,nicht Marke,ne pas marque,no marca
16,P1165,home world,Heimatwelt,mundo de origen,monde d'origine,1646,not home world,nicht Heimatwelt,ne pas monde d'origine,no mundo de origen
17,P741,playing hand,Spielhand,mano utilizada,prise de raquette,6255,not playing hand,nicht Spielhand,ne pas prise de raquette,no mano utilizada
18,P5110,has grammatical person,hat grammatische Person,tiene la persona gramatical,a comme personne grammaticale,113,not has grammatical person,nicht hat grammatische Person,ne pas a comme personne grammaticale,no tiene la persona gramatical
19,P6889,microarchitecture,Mikroarchitektur,microarquitectura,microarchitecture,197,not microarchitecture,nicht Mikroarchitektur,ne pas microarchitecture,no microarquitectura
20,P8839,hairstyle,Frisur,peinado,coiffure,581,not hairstyle,nicht Frisur,ne pas coiffure,no peinado
21,P8546,recording location,Ort der Aufnahme,ubicación de la grabación,lieu d'enregistrement,314,not recording location,nicht Ort der Aufnahme,ne pas lieu d'enregistrement,no ubicación de la grabación
22,P3080,game artist,Spielekünstler,artista de juegos,artiste multimédia,159,not game artist,nicht Spielekünstler,ne pas artiste multimédia,no artista de juegos
23,P534,streak color,Strichfarbe,color de la raya,couleur du trait,680,not streak color,nicht Strichfarbe,ne pas couleur du trait,no color de la raya
24,P7167,does not have effect,verursacht nicht,no tiene como efecto,n'a pas d'effet,29,not does not have effect,nicht verursacht nicht,ne pas n'a pas d'effet,no no tiene como efecto
25,P1951,investor,Investor,inversionista,investisseur,6286,not investor,nicht Investor,ne pas investisseur,no inversionista
26,P2554,production designer,Szenenbildner,diseñador de producción,chef décorateur,13497,not production designer,nicht Szenenbildner,ne pas chef décorateur,no diseñador de producción
27,P2358,Roman praenomen,römischer Vorname,praenomen,praenomen,6445,not Roman praenomen,nicht römischer Vorname,ne pas praenomen,no praenomen
28,P66,ancestral home,Herkunftsort,hogar ancestral,foyer ancestral,1792,not ancestral home,nicht Herkunftsort,ne pas foyer ancestral,no hogar ancestral
29,P8006,footedness,Füßigkeit,lateralidad de los pies,agilité des pieds,500,not footedness,nicht Füßigkeit,ne pas agilité des pieds,no lateralidad de los pies
30,P7163,typically sells,verkauft im Allgemeinen,vende generalmente,vend généralement,299,not typically sells,nicht verkauft im Allgemeinen,ne pas vend généralement,no vende generalmente
31,P7938,associated electoral district,Wahlkreis,situado en la entidad territorial electoral,division électorale,62872,not associated electoral district,nicht Wahlkreis,ne pas division électorale,no situado en la entidad territorial electoral
32,P786,stipe character,Stielform,carácter del estipe,caractère du stipe,664,not stipe character,nicht Stielform,ne pas caractère du stipe,no carácter del estipe
33,P106,occupation,Tätigkeit,ocupación,occupation,9242546,not occupation,nicht Tätigkeit,ne pas occupation,no ocupación
34,P85,anthem,Hymne,himno,hymne,1692,not anthem,nicht Hymne,ne pas hymne,no himno
35,P2841,age of onset,Erkrankungsalter,edad de aparición,âge d'apparition,7,not age of onset,nicht Erkrankungsalter,ne pas âge d'apparition,no edad de aparición
36,P1811,list of episodes,Episodenliste,lista de episodios,liste des épisodes,4553,not list of episodes,nicht Episodenliste,ne pas liste des épisodes,no lista de episodios
37,P631,structural engineer,Statiker,ingeniero estructural,ingénieur de structure,1781,not structural engineer,nicht Statiker,ne pas ingénieur de structure,no ingeniero estructural
38,P5588,invasive to,invasiv in,especie invasora en,envahit,107,not invasive to,nicht invasiv in,ne pas envahit,no especie invasora en
39,P1158,location of landing,Landeplatz,sitio del aterrizaje,site d'atterrissage,501,not location of landing,nicht Landeplatz,ne pas site d'atterrissage,no sitio del aterrizaje
40,P4608,scenographer,Bühnenbildner,escenógrafo,scénographe,9757,not scenographer,nicht Bühnenbildner,ne pas scénographe,no escenógrafo
41,P103,native language,Muttersprache,lengua materna,langue maternelle,287064,not native language,nicht Muttersprache,ne pas langue maternelle,no lengua materna
42,P5995,kit supplier,technischer Ausrüster,proveedor de equipación,équipementier,293,not kit supplier,nicht technischer Ausrüster,ne pas équipementier,no proveedor de equipación
43,P37,official language,Amtssprache,idioma oficial,langue officielle,21395,not official language,nicht Amtssprache,ne pas langue officielle,no idioma oficial
44,P689,afflicts,befällt,afecta,affecte,4188,not afflicts,nicht befällt,ne pas affecte,no afecta
45,P568,overlies,Liegend,suprayacente a,mur,1555,not overlies,nicht Liegend,ne pas mur,no suprayacente a
46,P3158,enclosure,Einhausung,recinto,enceinte,96,not enclosure,nicht Einhausung,ne pas enceinte,no recinto
47,P2453,nominee,Nominierter,nominado,nommé,164,not nominee,nicht Nominierter,ne pas nommé,no nominado
48,P38,currency,Währung,moneda,monnaie,2094,not currency,nicht Währung,ne pas monnaie,no moneda
49,P183,endemic to,endemisch in,endémico en,endémique de,32251,not endemic to,nicht endemisch in,ne pas endémique de,no endémico en
50,P163,flag,Flagge,descripción de la bandera,drapeau,6537,not flag,nicht Flagge,ne pas drapeau,no descripción de la bandera
51,P4805,make-up artist,Visagist,maquillador,maquilleur,506,not make-up artist,nicht Visagist,ne pas maquilleur,no maquillador
52,P556,crystal system,Kristallsystem,sistema cristalino,système cristallin,5447,not crystal system,nicht Kristallsystem,ne pas système cristallin,no sistema cristalino
53,P2438,narrator,Erzähler,narrador,narrateur,2262,not narrator,nicht Erzähler,ne pas narrateur,no narrador
54,P3491,muscle insertion,Muskelansatz,inserción del músculo,insertion du muscle,57,not muscle insertion,nicht Muskelansatz,ne pas insertion du muscle,no inserción del músculo
55,P282,writing system,Schrift,alfabeto,système d'écriture,587905,not writing system,nicht Schrift,ne pas système d'écriture,no alfabeto
56,P291,place of publication,Erscheinungsort,lugar de publicación,lieu de publication,269797,not place of publication,nicht Erscheinungsort,ne pas lieu de publication,no lugar de publicación
57,P2548,strand orientation,Strangorientierung,orientación de la cadena,orientation des brins,1034996,not strand orientation,nicht Strangorientierung,ne pas orientation des brins,no orientación de la cadena
58,P6275,copyright representative,urheberrechtliche Vertretung durch,representante de derechos de autor,représentant des droits d'auteurs,81007,not copyright representative,nicht urheberrechtliche Vertretung durch,ne pas représentant des droits d'auteurs,no representante de derechos de autor
59,P20,place of death,Sterbeort,lugar de fallecimiento,lieu de mort,1208628,not place of death,nicht Sterbeort,ne pas lieu de mort,no lugar de fallecimiento
60,P3680,statement supported by,Aussage gestützt durch,afirmación sostenida por,déclaration soutenue par,57,not statement supported by,nicht Aussage gestützt durch,ne pas déclaration soutenue par,no afirmación sostenida por
61,P5202,adapted by,Bearbeiter,adaptación de,adaptation par,3400,not adapted by,nicht Bearbeiter,ne pas adaptation par,no adaptación de
62,P2184,history,Geschichte,historia,histoire,2182,not history,nicht Geschichte,ne pas histoire,no historia
63,P3027,open period from,geöffnet von Zeitpunkt,abierto desde,début de la période d'ouverture,16,not open period from,nicht geöffnet von Zeitpunkt,ne pas début de la période d'ouverture,no abierto desde
64,P450,astronaut mission,Raumfahrtmission,misión del astronauta,mission de l'astronaute,1827,not astronaut mission,nicht Raumfahrtmission,ne pas mission de l'astronaute,no misión del astronauta
65,P2813,house publication,Hauspublikation,órgano de prensa,organe de presse,1070,not house publication,nicht Hauspublikation,ne pas organe de presse,no órgano de prensa
66,P1455,list of works,Werkliste,lista de obras,liste des œuvres,1227,not list of works,nicht Werkliste,ne pas liste des œuvres,no lista de obras
67,P3712,objective of project or action,angestrebtes Ziel,objetivo del proyecto o de la acción,objectif du projet ou de la mission,1623,not objective of project or action,nicht angestrebtes Ziel,ne pas objectif du projet ou de la mission,no objetivo del proyecto o de la acción
68,P8822,epithet,Epitheton,epíteto,épithète,26,not epithet,nicht Epitheton,ne pas épithète,no epíteto
69,P3764,pole position,Pole Position,pole position,en pole position au départ,4737,not pole position,nicht Pole Position,ne pas en pole position au départ,no pole position
70,P2361,online service,Onlinedienst,servicio en línea,service en ligne,48,not online service,nicht Onlinedienst,ne pas service en ligne,no servicio en línea
