id,en,ja,en_negated,ja_negated,count
P1034,main food source,主な食料源,not main food source,いいえ 主な食料源,326
P457,foundational text,設立文,not foundational text,いいえ 設立文,50541
P8004,ordered by,指示者,not ordered by,いいえ 指示者,12
P532,port of registry,船籍港,not port of registry,いいえ 船籍港,25629
P740,location of formation,結成場所,not location of formation,いいえ 結成場所,44482
P1817,addressee,宛名,not addressee,いいえ 宛名,49021
P122,basic form of government,政治体制,not basic form of government,いいえ 政治体制,2152
P58,screenwriter,脚本,not screenwriter,いいえ 脚本,186866
P2597,Gram staining,グラム染色,not Gram staining,いいえ グラム染色,14932
P3085,qualifies for event,出場資格判断イベント,not qualifies for event,いいえ 出場資格判断イベント,2803
P1704,is pollinator of,以下の送粉者,not is pollinator of,いいえ 以下の送粉者,58
P1716,brand,ブランド,not brand,いいえ ブランド,15374
P3173,offers view on,眺望できるもの,not offers view on,いいえ 眺望できるもの,905
P1165,home world,故郷,not home world,いいえ 故郷,1648
P741,playing hand,ラケットの持ち手,not playing hand,いいえ ラケットの持ち手,6284
P4043,emulates,エミュレート対象,not emulates,いいえ エミュレート対象,345
P6889,microarchitecture,マイクロアーキテクチャ,not microarchitecture,いいえ マイクロアーキテクチャ,198
P3719,regulated by,規制当局,not regulated by,いいえ 規制当局,475
P8839,hairstyle,髪型,not hairstyle,いいえ 髪型,595
P534,streak color,条痕色,not streak color,いいえ 条痕色,680
P7167,does not have effect,以下は無効,not does not have effect,いいえ 以下は無効,30
P1951,investor,投資家,not investor,いいえ 投資家,6294
P1035,honorific suffix,敬称としての接尾辞,not honorific suffix,いいえ 敬称としての接尾辞,773
P2554,production designer,プロダクションデザイナー,not production designer,いいえ プロダクションデザイナー,13508
P2358,Roman praenomen,古代ローマのプラエノーメン,not Roman praenomen,いいえ 古代ローマのプラエノーメン,6468
P66,ancestral home,祖籍,not ancestral home,いいえ 祖籍,1811
P8006,footedness,利き足,not footedness,いいえ 利き足,514
P2853,electrical plug type,コンセントの種類,not electrical plug type,いいえ コンセントの種類,531
P7163,typically sells,取扱商品,not typically sells,いいえ 取扱商品,299
P3275,storyboard artist,絵コンテ,not storyboard artist,いいえ 絵コンテ,697
P7938,associated electoral district,関連する選挙区,not associated electoral district,いいえ 関連する選挙区,62894
P106,occupation,職業,not occupation,いいえ 職業,9260065
P636,route of administration,投与経路,not route of administration,いいえ 投与経路,3001
P85,anthem,アンセム,not anthem,いいえ アンセム,1691
P2841,age of onset,発症年齢,not age of onset,いいえ 発症年齢,7
P1811,list of episodes,エピソードの一覧,not list of episodes,いいえ エピソードの一覧,4553
P10067,train melody,発車メロディ,not train melody,いいえ 発車メロディ,14
P631,structural engineer,構造設計,not structural engineer,いいえ 構造設計,1781
P5588,invasive to,侵入先,not invasive to,いいえ 侵入先,107
P1158,location of landing,着地点,not location of landing,いいえ 着地点,502
P103,native language,母語,not native language,いいえ 母語,287778
P5995,kit supplier,キットサプライヤー,not kit supplier,いいえ キットサプライヤー,293
P37,official language,公用語,not official language,いいえ 公用語,21472
P1435,heritage designation,遺産保護指定,not heritage designation,いいえ 遺産保護指定,2062512
P689,afflicts,障害部位,not afflicts,いいえ 障害部位,4196
P568,overlies,下位層,not overlies,いいえ 下位層,1555
P2453,nominee,候補者,not nominee,いいえ 候補者,164
P9813,container,容器,not container,いいえ 容器,60
P38,currency,通貨,not currency,いいえ 通貨,2098
P183,endemic to,生息域,not endemic to,いいえ 生息域,32262
P163,flag,旗,not flag,いいえ 旗,6539
P556,crystal system,結晶系,not crystal system,いいえ 結晶系,5448
P4988,test method,試験方法,not test method,いいえ 試験方法,27
P6948,video system,ビデオシステム,not video system,いいえ ビデオシステム,7
P2992,software quality assurance,ソフトウェア品質保証,not software quality assurance,いいえ ソフトウェア品質保証,447
P2438,narrator,ナレーター,not narrator,いいえ ナレーター,2267
P3491,muscle insertion,筋停止部,not muscle insertion,いいえ 筋停止部,57
P282,writing system,文字体系,not writing system,いいえ 文字体系,611234
P291,place of publication,出版地,not place of publication,いいえ 出版地,271222
P2548,strand orientation,DNA鎖の向き,not strand orientation,いいえ DNA鎖の向き,1035000
P6275,copyright representative,著作権代表者,not copyright representative,いいえ 著作権代表者,81054
P20,place of death,死亡地,not place of death,いいえ 死亡地,1212693
