id,en,ru,en_negated,ru_negated,count
P457,foundational text,основополагающий текст,not foundational text,не основополагающий текст,50541
P532,port of registry,порт приписки,not port of registry,не порт приписки,25629
P740,location of formation,место создания,not location of formation,не место создания,44482
P1817,addressee,получатель,not addressee,не получатель,49021
P58,screenwriter,сценарист,not screenwriter,не сценарист,186866
P3085,qualifies for event,отборочный этап для,not qualifies for event,не отборочный этап для,2803
P1704,is pollinator of,опылитель для,not is pollinator of,не опылитель для,58
P1716,brand,бренд,not brand,не бренд,15374
P3173,offers view on,открывает вид на,not offers view on,не открывает вид на,905
P1165,home world,родной мир,not home world,не родной мир,1648
P741,playing hand,играющая рука,not playing hand,не играющая рука,6284
P4043,emulates,эмулирует,not emulates,не эмулирует,345
P3719,regulated by,регулируется,not regulated by,не регулируется,475
P8839,hairstyle,причёска,not hairstyle,не причёска,595
P4646,representation of,представление интересов,not representation of,не представление интересов,165
P8546,recording location,место записи,not recording location,не место записи,314
P7167,does not have effect,не вызывает,not does not have effect,не не вызывает,30
P1951,investor,инвестор,not investor,не инвестор,6294
P2554,production designer,художник-постановщик,not production designer,не художник-постановщик,13508
P66,ancestral home,предки из,not ancestral home,не предки из,1811
P7163,typically sells,обычно продаёт,not typically sells,не обычно продаёт,299
P106,occupation,род занятий,not occupation,не род занятий,9260065
P636,route of administration,способ введения,not route of administration,не способ введения,3001
P85,anthem,гимн,not anthem,не гимн,1691
P2841,age of onset,возраст манифестации,not age of onset,не возраст манифестации,7
P5588,invasive to,инвазионный вид для,not invasive to,не инвазионный вид для,107
P1158,location of landing,место посадки,not location of landing,не место посадки,502
P689,afflicts,поражает,not afflicts,не поражает,4196
P568,overlies,лежачий бок,not overlies,не лежачий бок,1555
P3158,enclosure,включает,not enclosure,не включает,96
P2453,nominee,номинант,not nominee,не номинант,164
P9813,container,упаковка,not container,не упаковка,60
P38,currency,денежная единица,not currency,не денежная единица,2098
P183,endemic to,является эндемиком в,not endemic to,не является эндемиком в,32262
P6902,era name,девиз правления,not era name,не девиз правления,345
P2438,narrator,рассказчик,not narrator,не рассказчик,2267
P3491,muscle insertion,конечное место крепления мышцы,not muscle insertion,не конечное место крепления мышцы,57
P282,writing system,письменность,not writing system,не письменность,611234
P291,place of publication,место публикации,not place of publication,не место публикации,271222
P6275,copyright representative,защитник авторских прав,not copyright representative,не защитник авторских прав,81054
P20,place of death,место смерти,not place of death,не место смерти,1212693
P3680,statement supported by,утверждение поддерживает,not statement supported by,не утверждение поддерживает,58
P5202,adapted by,адаптирован,not adapted by,не адаптирован,3430
P2184,history of topic,история темы,not history of topic,не история темы,2171
P3027,open period from,сезон открыт с,not open period from,не сезон открыт с,16
P1455,list of works,список произведений,not list of works,не список произведений,1228
P5126,assistant director,второй режиссёр,not assistant director,не второй режиссёр,559
P2882,relegated,выбывшие,not relegated,не выбывшие,2906
P2634,sitter,модель,not sitter,не модель,280
P1625,has melody,содержит мелодию,not has melody,не содержит мелодию,2139
P5096,member of the crew of,член экипажа,not member of the crew of,не член экипажа,1386
P5880,video designer,видеодизайнер,not video designer,не видеодизайнер,1229
P1990,species kept,содержащиеся виды,not species kept,не содержащиеся виды,7902
P9972,illustrative content,иллюстративное содержание,not illustrative content,не иллюстративное содержание,61
P6954,online access status,статус онлайн-доступности,not online access status,не статус онлайн-доступности,5602
P136,genre,жанр,not genre,не жанр,1527395
P452,industry,отрасль,not industry,не отрасль,104004
P1462,standards body,орган по стандартизации,not standards body,не орган по стандартизации,2799
P4510,describes a project that uses,используется в описываемом проекте,not describes a project that uses,не используется в описываемом проекте,87086
P449,original broadcaster,первоначальный вещатель,not original broadcaster,не первоначальный вещатель,93087
P6001,applies to people,касается людей,not applies to people,не касается людей,16
P2872,visitor centre,туристический центр,not visitor centre,не туристический центр,554
P5800,narrative role,нарративная роль,not narrative role,не нарративная роль,4591
P517,interaction,фундаментальные взаимодействия,not interaction,не фундаментальные взаимодействия,291
P7937,form of creative work,форма искусства,not form of creative work,не форма искусства,342698
P6872,has written for,писал для,not has written for,не писал для,3252
P1884,hair color,цвет волос,not hair color,не цвет волос,11981
P3018,located in protected area,находится в охранной зоне,not located in protected area,не находится в охранной зоне,36798
P483,recorded at studio or venue,записано на,not recorded at studio or venue,не записано на,5412
P1686,for work,за работу,not for work,не за работу,50
P4241,refine date,уточнение даты,not refine date,не уточнение даты,0
P3975,secretary general,генеральный секретарь,not secretary general,не генеральный секретарь,1431
P1050,medical condition,состояние здоровья,not medical condition,не состояние здоровья,241962
P2286,arterial supply,артериальное кровоснабжение,not arterial supply,не артериальное кровоснабжение,288
P140,religion or world view,религия,not religion or world view,не религия,444622
P59,constellation,созвездие,not constellation,не созвездие,7371215
P1434,takes place in fictional universe,описывает вымышленный мир,not takes place in fictional universe,не описывает вымышленный мир,15814
P8289,parish church,приходская церковь,not parish church,не приходская церковь,7312
P3912,newspaper format,газетный формат,not newspaper format,не газетный формат,4083
P1923,participating team,команда-участница,not participating team,не команда-участница,148066
