id,en,zh,en_negated,zh_negated,count
P1034,main food source,主要食物來源,not main food source,不是 主要食物來源,326
P457,foundational text,成立文书,not foundational text,不是 成立文书,50541
P532,port of registry,船籍港,not port of registry,不是 船籍港,25629
P740,location of formation,成立地點,not location of formation,不是 成立地點,44482
P1817,addressee,收件人,not addressee,不是 收件人,49021
P122,basic form of government,政体,not basic form of government,不是 政体,2152
P58,screenwriter,編劇,not screenwriter,不是 編劇,186866
P2597,Gram staining,革蘭氏染色,not Gram staining,不是 革蘭氏染色,14932
P9072,derived from organism type,从这个物种的组织内分离,not derived from organism type,不是 从这个物种的组织内分离,136745
P1716,brand,品牌,not brand,不是 品牌,15374
P1165,home world,來源星球,not home world,不是 來源星球,1648
P4043,emulates,模拟,not emulates,不是 模拟,345
P6889,microarchitecture,微架構,not microarchitecture,不是 微架構,198
P8839,hairstyle,发型,not hairstyle,不是 发型,595
P3772,agonist of,激动剂,not agonist of,不是 激动剂,11
P3080,game artist,游戏艺术家,not game artist,不是 游戏艺术家,159
P7167,does not have effect,没有效果,not does not have effect,不是 没有效果,30
P1951,investor,投資者,not investor,不是 投資者,6294
P2554,production designer,美術指導,not production designer,不是 美術指導,13508
P66,ancestral home,籍贯,not ancestral home,不是 籍贯,1811
P2853,electrical plug type,電源插頭型式,not electrical plug type,不是 電源插頭型式,531
P7163,typically sells,销售商品,not typically sells,不是 销售商品,299
P3275,storyboard artist,分镜师,not storyboard artist,不是 分镜师,697
P106,occupation,职业,not occupation,不是 职业,9260065
P636,route of administration,给药途径,not route of administration,不是 给药途径,3001
P85,anthem,颂歌,not anthem,不是 颂歌,1691
P2841,age of onset,发病年龄,not age of onset,不是 发病年龄,7
P631,structural engineer,結構工程師,not structural engineer,不是 結構工程師,1781
P1158,location of landing,降落地點,not location of landing,不是 降落地點,502
P4608,scenographer,舞台设计师,not scenographer,不是 舞台设计师,9780
P103,native language,母语,not native language,不是 母语,287778
P37,official language,官方语言,not official language,不是 官方语言,21472
P6563,key performance indicator,關鍵績效指標,not key performance indicator,不是 關鍵績效指標,13
P1435,heritage designation,遗产名称,not heritage designation,不是 遗产名称,2062512
P689,afflicts,影响,not afflicts,不是 影响,4196
P38,currency,货币,not currency,不是 货币,2098
P183,endemic to,特有分布,not endemic to,不是 特有分布,32262
P163,flag,旗帜,not flag,不是 旗帜,6539
P4805,make-up artist,化妝師,not make-up artist,不是 化妝師,512
P6902,era name,年号,not era name,不是 年号,345
P2992,software quality assurance,软件质量管理,not software quality assurance,不是 软件质量管理,447
P2438,narrator,敘事者,not narrator,不是 敘事者,2267
P282,writing system,書寫系統,not writing system,不是 書寫系統,611234
P291,place of publication,出版地,not place of publication,不是 出版地,271222
P6275,copyright representative,版權代表人,not copyright representative,不是 版權代表人,81054
P20,place of death,死亡地,not place of death,不是 死亡地,1212693
P3680,statement supported by,主张此叙述者,not statement supported by,不是 主张此叙述者,58
P5202,adapted by,改編者,not adapted by,不是 改編者,3430
P2184,history of topic,話題历史,not history of topic,不是 話題历史,2171
P411,canonization status,冊封狀態,not canonization status,不是 冊封狀態,11488
P450,astronaut mission,航天任务,not astronaut mission,不是 航天任务,1836
P1455,list of works,作品列表,not list of works,不是 作品列表,1228
P6942,animator,动画师,not animator,不是 动画师,4025
P8822,epithet,修飾詞,not epithet,不是 修飾詞,26
P2361,online service,线上服务,not online service,不是 线上服务,48
P2882,relegated,降级,not relegated,不是 降级,2906
P2634,sitter,模特,not sitter,不是 模特,280
P1990,species kept,饲养品种,not species kept,不是 饲养品种,7902
P136,genre,類型,not genre,不是 類型,1527395
P452,industry,产业,not industry,不是 产业,104004
P4770,hydrated form of,水合物,not hydrated form of,不是 水合物,170
P1462,standards body,標準組織,not standards body,不是 標準組織,2799
P449,original broadcaster,首播电视台,not original broadcaster,不是 首播电视台,93087
P5800,narrative role,故事角色,not narrative role,不是 故事角色,4591
P517,interaction,相互作用,not interaction,不是 相互作用,291
P7937,form of creative work,作品形式,not form of creative work,不是 作品形式,342698
P1884,hair color,髮色,not hair color,不是 髮色,11981
P3018,located in protected area,所在保护区,not located in protected area,不是 所在保护区,36798
P1686,for work,得獎作品,not for work,不是 得獎作品,50
P6884,target muscle,肌肉,not target muscle,不是 肌肉,3
P3975,secretary general,总书记,not secretary general,不是 总书记,1431
