id,ru,ja,ru_negated,ja_negated,count
P1034,основной источник питания,主な食料源,нет основной источник питания,いいえ 主な食料源,326
P457,основополагающий текст,設立文,нет основополагающий текст,いいえ 設立文,50541
P532,порт приписки,船籍港,нет порт приписки,いいえ 船籍港,25629
P740,место создания,結成場所,нет место создания,いいえ 結成場所,44482
P1817,получатель,宛名,нет получатель,いいえ 宛名,49021
P122,форма правления,政治体制,нет форма правления,いいえ 政治体制,2152
P3085,отборочный этап для,出場資格判断イベント,нет отборочный этап для,いいえ 出場資格判断イベント,2803
P1704,опылитель для,以下の送粉者,нет опылитель для,いいえ 以下の送粉者,58
P1716,бренд,ブランド,нет бренд,いいえ ブランド,15374
P3173,открывает вид на,眺望できるもの,нет открывает вид на,いいえ 眺望できるもの,905
P1165,родной мир,故郷,нет родной мир,いいえ 故郷,1648
P741,играющая рука,ラケットの持ち手,нет играющая рука,いいえ ラケットの持ち手,6284
P4043,эмулирует,エミュレート対象,нет эмулирует,いいえ エミュレート対象,345
P6889,микроархитектура,マイクロアーキテクチャ,нет микроархитектура,いいえ マイクロアーキテクチャ,198
P3719,регулируется,規制当局,нет регулируется,いいえ 規制当局,475
P8839,причёска,髪型,нет причёска,いいえ 髪型,595
P534,цвет черты,条痕色,нет цвет черты,いいえ 条痕色,680
P7167,не вызывает,以下は無効,нет не вызывает,いいえ 以下は無効,30
P1951,инвестор,投資家,нет инвестор,いいえ 投資家,6294
P2554,художник-постановщик,プロダクションデザイナー,нет художник-постановщик,いいえ プロダクションデザイナー,13508
P66,предки из,祖籍,нет предки из,いいえ 祖籍,1811
P8006,рабочая нога,利き足,нет рабочая нога,いいえ 利き足,514
P7163,обычно продаёт,取扱商品,нет обычно продаёт,いいえ 取扱商品,299
P3275,художник раскадровки,絵コンテ,нет художник раскадровки,いいえ 絵コンテ,697
P106,род занятий,職業,нет род занятий,いいえ 職業,9260065
P636,способ введения,投与経路,нет способ введения,いいえ 投与経路,3001
P85,гимн,アンセム,нет гимн,いいえ アンセム,1691
P2841,возраст манифестации,発症年齢,нет возраст манифестации,いいえ 発症年齢,7
P631,инженер-строитель,構造設計,нет инженер-строитель,いいえ 構造設計,1781
P5588,инвазионный вид для,侵入先,нет инвазионный вид для,いいえ 侵入先,107
P1158,место посадки,着地点,нет место посадки,いいえ 着地点,502
P103,родной язык,母語,нет родной язык,いいえ 母語,287778
P5995,технический спонсор,キットサプライヤー,нет технический спонсор,いいえ キットサプライヤー,293
P1435,статус наследия,遺産保護指定,нет статус наследия,いいえ 遺産保護指定,2062512
P689,поражает,障害部位,нет поражает,いいえ 障害部位,4196
