id,ru,zh,en,ru_negated,zh_negated,count
P1034,основной источник питания,主要食物來源,main food source,нет основной источник питания,不是 主要食物來源,326
P457,основополагающий текст,成立文书,foundational text,нет основополагающий текст,不是 成立文书,50541
P532,порт приписки,船籍港,port of registry,нет порт приписки,不是 船籍港,25629
P740,место создания,成立地點,location of formation,нет место создания,不是 成立地點,44482
P1817,получатель,收件人,addressee,нет получатель,不是 收件人,49021
P122,форма правления,政体,basic form of government,нет форма правления,不是 政体,2152
P58,сценарист,編劇,screenwriter,нет сценарист,不是 編劇,186866
P1716,бренд,品牌,brand,нет бренд,不是 品牌,15374
P4043,эмулирует,模拟,emulates,нет эмулирует,不是 模拟,345
P6889,микроархитектура,微架構,microarchitecture,нет микроархитектура,不是 微架構,198
P8839,причёска,发型,hairstyle,нет причёска,不是 发型,595
P3080,игровой художник,游戏艺术家,game artist,нет игровой художник,不是 游戏艺术家,159
P7167,не вызывает,没有效果,does not have effect,нет не вызывает,不是 没有效果,30
P1951,инвестор,投資者,investor,нет инвестор,不是 投資者,6294
P2554,художник-постановщик,美術指導,production designer,нет художник-постановщик,不是 美術指導,13508
P66,предки из,籍贯,ancestral home,нет предки из,不是 籍贯,1811
P7163,обычно продаёт,销售商品,typically sells,нет обычно продаёт,不是 销售商品,299
P3275,художник раскадровки,分镜师,storyboard artist,нет художник раскадровки,不是 分镜师,697
P7938,ассоциированный избирательный округ,所属选区,associated electoral district,нет ассоциированный избирательный округ,不是 所属选区,62894
P106,род занятий,职业,occupation,нет род занятий,不是 职业,9260065
P636,способ введения,给药途径,route of administration,нет способ введения,不是 给药途径,3001
P2841,возраст манифестации,发病年龄,age of onset,нет возраст манифестации,不是 发病年龄,7
P1158,место посадки,降落地點,location of landing,нет место посадки,不是 降落地點,502
P4608,сценограф,舞台设计师,scenographer,нет сценограф,不是 舞台设计师,9780
P37,официальный язык,官方语言,official language,нет официальный язык,不是 官方语言,21472
P1435,статус наследия,遗产名称,heritage designation,нет статус наследия,不是 遗产名称,2062512
P689,поражает,影响,afflicts,нет поражает,不是 影响,4196
P183,является эндемиком в,特有分布,endemic to,нет является эндемиком в,不是 特有分布,32262
P163,описание флага,旗帜,flag,нет описание флага,不是 旗帜,6539
P4805,художник-визажист,化妝師,make-up artist,нет художник-визажист,不是 化妝師,512
P6902,девиз правления,年号,era name,нет девиз правления,不是 年号,345
P2438,рассказчик,敘事者,narrator,нет рассказчик,不是 敘事者,2267
P282,письменность,書寫系統,writing system,нет письменность,不是 書寫系統,611234
P291,место публикации,出版地,place of publication,нет место публикации,不是 出版地,271222
P6275,защитник авторских прав,版權代表人,copyright representative,нет защитник авторских прав,不是 版權代表人,81054
P20,место смерти,死亡地,place of death,нет место смерти,不是 死亡地,1212693
P3680,утверждение поддерживает,主张此叙述者,statement supported by,нет утверждение поддерживает,不是 主张此叙述者,58
P5202,адаптирован,改編者,adapted by,нет адаптирован,不是 改編者,3430
P2184,история темы,話題历史,history of topic,нет история темы,不是 話題历史,2171
P1455,список произведений,作品列表,list of works,нет список произведений,不是 作品列表,1228
P6942,художник-мультипликатор,动画师,animator,нет художник-мультипликатор,不是 动画师,4025
P8822,эпитет,修飾詞,epithet,нет эпитет,不是 修飾詞,26
P2361,онлайн-сервис,线上服务,online service,нет онлайн-сервис,不是 线上服务,48
P2882,выбывшие,降级,relegated,нет выбывшие,不是 降级,2906
P2634,модель,模特,sitter,нет модель,不是 模特,280
P1990,содержащиеся виды,饲养品种,species kept,нет содержащиеся виды,不是 饲养品种,7902
P136,жанр,類型,genre,нет жанр,不是 類型,1527395
