,relation,template,template_negated,label,description,type
0,P19,[X] was born in [Y] .,[X] was not born in [Y] .,place of birth,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character",N-1
1,P20,[X] died in [Y] .,[X] did not die in [Y] .,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character",N-1
2,P279,[X] is a subclass of [Y] .,[X] is not a subclass of [Y] .,subclass of,all instances of these items are instances of those items; this item is a class (subset) of that item. Not to be confused with P31 (instance of),N-1
3,P37,The official language of [X] is [Y] .,The official language of [X] is not [Y] .,official language,language designated as official by this item,N-1
4,P413,[X] plays in [Y] position .,[X] does not play in [Y] position .,position played on team / speciality,"position or specialism of a player on a team, e.g. Small Forward",N-1
5,P166,[X] was awarded the [Y] .,[X] was not awarded the [Y] .,award received,"award or recognition received by a person, organisation or creative work",N-M
6,P449,[X] was originally aired on [Y] .,[X] was not originally aired on [Y] .,original network,"network(s) the radio or television show was originally aired on,  including",N-1
7,P69,[X] was educated at the University of [Y] .,[X] was not educated at the University of [Y] .,educated at,educational institution attended by subject,N-M
8,P47,[X] shares border with [Y] .,[X] does not share border with [Y] .,shares border with,"countries or administrative subdivisions, of equal level, that this item borders, either by land or water",N-M
9,P138,[X] is named after [Y] .,[X] is not named after [Y] .,named after,"entity or event that inspired the subject's name, or namesake (in at least one language)",N-1
10,P364,The original language of [X] is [Y] .,The original language of [X] is not [Y] .,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works; use P407 (""language of work or name"") instead.",N-1
11,P54,[X] plays with [Y] .,[X] does not play with [Y] .,member of sports team,sports teams or clubs that the subject currently represents or formerly represented,N-1
12,P463,[X] is a member of [Y] .,[X] is not a member of [Y] .,member of,"organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).",N-M
13,P101,[X] works in the field of [Y] .,[X] does not work in the field of [Y] .,field of work,specialization of a person or organization; see P106 for the occupation,N-M
14,P1923,[Y] participated in the [X] .,[Y] did not participate in the [X] .,participating team,Like 'Participant' (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with 'member of sports team' (P54)' as a qualifier for the individuals),N-M
15,P106,[X] is a [Y] by profession .,[X] is not a [Y] by profession .,occupation,"occupation of a person; see also ""field of work"" (Property:P101), ""position held"" (Property:P39)",N-M
16,P527,[X] consists of [Y] .,[X] does not consist of [Y] .,has part,"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670).",N-M
17,P102,[X] is a member of the [Y] political party .,[X] is not a member of the [Y] political party .,member of political party,the political party of which this politician is or has been a member,N-1
18,P530,[X] maintains diplomatic relations with [Y] .,[X] does not maintain diplomatic relations with [Y] .,diplomatic relation,diplomatic relations of the country,N-M
19,P176,[X] is produced by [Y] .,[X] is not produced by [Y] .,manufacturer,manufacturer or producer of this product,N-1
20,P27,[X] is [Y] citizen .,[X] is not [Y] citizen .,country of citizenship,the object is a country that recognizes the subject as its citizen,N-M
21,P407,[X] was written in [Y] .,[X] was not written in [Y] .,language of work or name,"language associated with this creative work (such as books, shows, songs, or websites) or a name (for persons use P103 and P1412)",N-1
22,P30,[X] is located in [Y] .,[X] is not located in [Y] .,continent,continent of which the subject is a part,N-1
23,P178,[X] is developed by [Y] .,[X] is not developed by [Y] .,developer,organisation or person that developed the item,N-M
24,P1376,[X] is the capital of [Y] .,[X] is not the capital of [Y] .,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat",1-1
