id,en,zh,count
P1034,main food source,主要食物來源,326
P457,foundational text,成立文书,50541
P532,port of registry,船籍港,25629
P740,location of formation,成立地點,44482
P1817,addressee,收件人,49021
P122,basic form of government,政体,2152
P58,screenwriter,編劇,186866
P2597,Gram staining,革蘭氏染色,14932
P9072,derived from organism type,从这个物种的组织内分离,136745
P1716,brand,品牌,15374
P1165,home world,來源星球,1648
P4043,emulates,模拟,345
P6889,microarchitecture,微架構,198
P8839,hairstyle,发型,595
P3772,agonist of,激动剂,11
P3080,game artist,游戏艺术家,159
P7167,does not have effect,没有效果,30
P1951,investor,投資者,6294
P2554,production designer,美術指導,13508
P66,ancestral home,籍贯,1811
P2853,electrical plug type,電源插頭型式,531
P7163,typically sells,销售商品,299
P3275,storyboard artist,分镜师,697
P106,occupation,职业,9260065
P636,route of administration,给药途径,3001
P85,anthem,颂歌,1691
P2841,age of onset,发病年龄,7
P631,structural engineer,結構工程師,1781
P1158,location of landing,降落地點,502
P4608,scenographer,舞台设计师,9780
P103,native language,母语,287778
P37,official language,官方语言,21472
P6563,key performance indicator,關鍵績效指標,13
P1435,heritage designation,遗产名称,2062512
P689,afflicts,影响,4196
P38,currency,货币,2098
P183,endemic to,特有分布,32262
P163,flag,旗帜,6539
P4805,make-up artist,化妝師,512
P6902,era name,年号,345
P2992,software quality assurance,软件质量管理,447
P2438,narrator,敘事者,2267
P282,writing system,書寫系統,611234
P291,place of publication,出版地,271222
P6275,copyright representative,版權代表人,81054
P20,place of death,死亡地,1212693
P3680,statement supported by,主张此叙述者,58
P5202,adapted by,改編者,3430
P2184,history of topic,話題历史,2171
P411,canonization status,冊封狀態,11488
P450,astronaut mission,航天任务,1836
P1455,list of works,作品列表,1228
P6942,animator,动画师,4025
P8822,epithet,修飾詞,26
P2361,online service,线上服务,48
P2882,relegated,降级,2906
P2634,sitter,模特,280
P1990,species kept,饲养品种,7902
P136,genre,類型,1527395
P452,industry,产业,104004
P4770,hydrated form of,水合物,170
P1462,standards body,標準組織,2799
P449,original broadcaster,首播电视台,93087
P5800,narrative role,故事角色,4591
P517,interaction,相互作用,291
P7937,form of creative work,作品形式,342698
P1884,hair color,髮色,11981
P3018,located in protected area,所在保护区,36798
P1686,for work,得獎作品,50
P6884,target muscle,肌肉,3
P3975,secretary general,总书记,1431
P1050,medical condition,医疗状况,241962
P2286,arterial supply,动脉供应,288
P140,religion or world view,信仰,444622
P59,constellation,星座,7371215
P1434,takes place in fictional universe,发生在虚构的宇宙中,15814
P8289,parish church,堂區教堂,7312
P3912,newspaper format,报纸版式,4083
P1923,participating team,參與隊伍,148066
P930,type of electrification,电气化方式,5562
P1546,motto,座右铭,509
P149,architectural style,建築風格,124958
P3803,original film format,原始底片格式,6459
P509,cause of death,死因,115623
P2925,domain of saint or deity,保佑領域,853
P6086,dramaturge,剧作者,3253
P111,measured physical quantity,以此物理量测量,3611
P1013,criterion used,所用標準,69
P7469,orientation,方向/面向,374
P8646,expansion of,资料片,1507
P8402,open data portal,開放資料網站,870
P5998,distributary,分流,119
P4968,relevant qualification,相關資格,55
P680,molecular function,分子功能,1210165
P35,head of state,国家元首,1841
P2715,elected in,當選選舉,183
P516,powered by,发动机,11110
P1142,political ideology,政治意识形态,23809
P7095,end grade,結束年級,3729
P8345,media franchise,跨媒體製作,28359
P2700,protocol,协议,231
P2827,flower color,花色,551
P2962,title of chess person,棋士称号,31178
P2568,repealed by,取代者,33377
P823,speaker,演讲者,5293
P4100,parliamentary group,黨團,1970
P7376,worn by,被穿著,182
P495,country of origin,原產地,1345801
P1056,product or material produced,产品,45764
P2348,time period,時間週期,202625
P3602,candidacy in election,競選,158938
P3610,fare zone,收費區,5161
P3033,package management system,软件包管理系统,192
P6819,calligrapher,書法家,291
P277,programming language,编程语言,12192
P1308,officeholder,公职人员,17533
P750,distributed by,經銷商,158589
P453,character role,人物角色,506
P840,narrative location,敘事發生地,91176
P5832,political coalition,政治聯盟,155
P8453,public transport stop,車站,132
P88,commissioned by,委托人,23429
P3092,film crew member,电影摄制组成员,4973
P427,taxonomic type,模式分类,28515
P2587,has phoneme,具有音位,99
P1011,excluding,排除,6
P1995,health specialty,醫學專科,10263
P415,radio format,廣播節目類型,3611
P1310,statement disputed by,对此声明有异议者,5
P1444,destination point,行程目的地,25554
P5353,school district,學區,9780
P4330,contains,包含,8269
P5095,fault,斷層,20
P118,league,所属联盟,192730
P2633,geography of topic,主题的地理学,726
P800,notable work,主要作品,96985
P1775,follower of,追隨對象,22
P1606,natural reservoir of,为其天然宿主,17
P1264,valid in period,有效期,219
P3739,inflorescence,花序,166
P27,country of citizenship,國籍,4426813
P3274,content deliverer,內容遞送者,6
P2679,author of foreword,序言作者,1543
P913,notation,符號,214
P1909,side effect,副作用,39
P413,position played on team / speciality,队中位置,401425
P1534,end cause,結束原因,171
P2079,fabrication method,制作方法,126162
P5052,supervisory board member,監事會成員,755
P8852,facial hair,脸毛,365
