id,en,es,fr,de,count
P530,diplomatic relation,relación diplomática,relation diplomatique,diplomatische Beziehung,7046
P47,shares border with,comparte fronteras con,limitrophe de,gemeinsame Grenze mit,605173
P461,opposite of,opuesto a,contraire,Gegenteil von,23857
P460,said to be the same as,se dice que es lo mismo que,réputé identique à,eventuell gleichwertig,285208
P3373,sibling,hermano o hermana,frère ou sœur,Geschwister,407131
P26,spouse,cónyuge,conjoint,Ehepartner(in),731197
P7047,enemy of,enemigo de,ennemi de,Feind von,3809
P451,unmarried partner,pareja,partenaire,Lebenspartner/-in,14156
P1889,different from,diferente de,à ne pas confondre avec,verschieden von,801466
P3403,coextensive with,mismo territorio que,a le même territoire que,koexistiert mit,4076
P190,twinned administrative body,ciudad hermana,jumelage ou partenariat,Partnerkommune,48990
P2152,antiparticle,antipartícula,antiparticule,Antiteilchen,79
P1382,partially coincident with,parcialmente coincidente con,coïncide partiellement avec,teilweise übereinstimmend mit,17887
P4777,has boundary,delimitado por,délimité par,hat als Grenze,1156
P1038,relative,pariente,parentèle,Verwandte,52123
P197,adjacent station,estación adyacente,gare voisine,benachbarte Station,209079
P833,interchange station,estación de intercambio,pôle d'échanges,Umsteigebahnhof,3685
P2789,connects with,se conecta con,se connecte avec,physisch verbunden mit,183333
P3342,significant person,persona relevante,personne clé,relevante Person,15439
P1327,partner in business or sport,en conjunto con,partenaire professionnel ou sportif,Berufs- oder Sportpartner,17571
P399,companion of,compañero de,compagnon de,Begleiter,4476
P1420,taxon synonym,sinónimo taxonómico,synonyme taxinomique,taxonomische Synonyme,21387
P129,physically interacts with,interactúa físicamente con,interagit physiquement avec,interagiert physikalisch mit,9480
P1322,dual to,dual de,dual de,dual zu,351
P2375,has superpartner,tiene como s-partícula,a comme superpartenaire,hat Superpartner,20
P8702,parallel street,calle paralela,rue parallèle,Parallelstraße,54
P1639,pendant of,pendant de,pendant de,Pendant,2268
P3032,adjacent building,edificio adyacente,bâtiment adjacent,Nachbargebäude,5242
P6185,tautomer of,tautómero de,tautomère de,Tautomer von,1063
P3179,territory overlaps,solapamiento territorial,recouvrement territorial,Territorium überschneidet sich mit,8370
P144,based on,basado en,basé sur,basiert auf,52294
P737,influenced by,influenciado por,influencé par,beeinflusst von,18552
P2444,homoglyph,homoglifo,homoglyphe,Homoglyph,1752
P8865,mathematical inverse,inverso matemático,inverse mathématique,mathematische Umkehroperation,84
P2329,antagonist muscle,músculo antagonista,muscle antagoniste,antagonistischer Muskel,101
P684,ortholog,ortólogo,gène orthologue,ortholog,4320878
P2652,partnership with,en sociedad con,en partenariat avec,Geschäftsbeziehung zu,3328
P3364,stereoisomer of,estereoisómero de,stéréoisomère de,Stereoisomer von,2013
P53,family,familia,famille,Familie,89379
P1416,affiliation,afiliación,affilié à,Zugehörigkeit zu,86685
P3113,does not have part,no contiene,ne comprend pas,enthält nicht,499
P514,interleaves with,intercalada con,s'imbrique avec,verzahnt mit,31
P2860,cites work,referencia,cite le document,zitiert,285213488
P8956,compatible with,compatible con,compatible avec,kompatibel mit,222
P807,separated from,separado de,séparé de,abgetrennt von,2321
P1557,manifestation of,manifestación de,manifestation de,Manifestation von,2120
P2210,relative to,relativo a,relatif à,Bezugspunkt,48
P4675,appears in the form of,aparece bajo la forma de,se métamorphose en,angenommene Gestalt,373
P6477,does not have quality,no tiene la cualidad,caractérisé par l'absence de,Mangel an,344
P2650,interested in,interesado en,intéressé par,interessiert an,14947
P547,commemorates,conmemora,commémore,erinnert an,26003
P5004,in opposition to,en oposición a,en opposition à,in Opposition zu,461
P1268,represents,representa,représente,repräsentiert,5411
P825,dedicated to,dedicado a,dédicataire,Widmung an,50406
P7719,generalization of,implica,généralisation de,impliziert,37
P31,instance of,instancia de,nature de l'élément,ist ein(e),103114325
P1441,present in work,presente en la obra,présent dans l'œuvre,kommt vor in,126749
P828,has cause,causado por,a pour cause,Ursache,9257
P1542,has effect,causa de,a pour effet,Ursache von,5715
P2737,union of,unión de,union de,Vereinigung von,375
